# Gas Mole fractions
z(m)            CH2CH2          CH3CH3          CH4             CHCH            H2              N2              
1.000000e-06    1.638137e-05    6.998166e-02    4.374377e-09    7.130403e-07    1.780526e-05    9.299834e-01    
1.450000e-06    2.202642e-05    6.997531e-02    6.452511e-09    9.787593e-07    2.398071e-05    9.299777e-01    
1.900000e-06    2.714040e-05    6.996955e-02    8.624533e-09    1.228711e-06    2.959351e-05    9.299725e-01    
2.350000e-06    3.185871e-05    6.996423e-02    1.089147e-08    1.467200e-06    3.478767e-05    9.299676e-01    
2.800000e-06    3.626482e-05    6.995926e-02    1.325173e-08    1.696788e-06    3.965177e-05    9.299631e-01    
3.250000e-06    4.041501e-05    6.995456e-02    1.570276e-08    1.919149e-06    4.424546e-05    9.299588e-01    
3.700000e-06    4.434967e-05    6.995010e-02    1.824166e-08    2.135453e-06    4.861145e-05    9.299548e-01    
4.150000e-06    4.809906e-05    6.994585e-02    2.086549e-08    2.346556e-06    5.278174e-05    9.299509e-01    
4.600000e-06    5.168669e-05    6.994177e-02    2.357137e-08    2.553111e-06    5.678112e-05    9.299472e-01    
5.050000e-06    5.513126e-05    6.993785e-02    2.635651e-08    2.755629e-06    6.062934e-05    9.299436e-01    
5.500000e-06    5.844802e-05    6.993408e-02    2.921831e-08    2.954520e-06    6.434245e-05    9.299401e-01    
5.950000e-06    6.164959e-05    6.993043e-02    3.215429e-08    3.150118e-06    6.793375e-05    9.299368e-01    
6.400000e-06    6.474656e-05    6.992689e-02    3.516213e-08    3.342704e-06    7.141439e-05    9.299336e-01    
6.850000e-06    6.774799e-05    6.992346e-02    3.823962e-08    3.532513e-06    7.479389e-05    9.299304e-01    
7.300000e-06    7.066163e-05    6.992013e-02    4.138471e-08    3.719745e-06    7.808042e-05    9.299274e-01    
7.750000e-06    7.349423e-05    6.991689e-02    4.459546e-08    3.904575e-06    8.128108e-05    9.299244e-01    
8.200000e-06    7.625170e-05    6.991373e-02    4.787005e-08    4.087155e-06    8.440208e-05    9.299215e-01    
8.650000e-06    7.893927e-05    6.991064e-02    5.120674e-08    4.267617e-06    8.744891e-05    9.299186e-01    
9.100000e-06    8.156157e-05    6.990763e-02    5.460391e-08    4.446081e-06    9.042643e-05    9.299159e-01    
9.550000e-06    8.412272e-05    6.990469e-02    5.806003e-08    4.622650e-06    9.333899e-05    9.299132e-01    
1.000000e-05    8.662644e-05    6.990181e-02    6.157363e-08    4.797419e-06    9.619049e-05    9.299105e-01    
1.450000e-05    1.091129e-04    6.987583e-02    9.959763e-08    6.461624e-06    1.219864e-04    9.298865e-01    
1.900000e-05    1.282249e-04    6.985360e-02    1.421900e-07    8.006626e-06    1.441671e-04    9.298659e-01    
2.350000e-05    1.450408e-04    6.983393e-02    1.886310e-07    9.461095e-06    1.638687e-04    9.298475e-01    
2.800000e-05    1.601693e-04    6.981614e-02    2.384108e-07    1.084212e-05    1.817343e-04    9.298309e-01    
3.250000e-05    1.739941e-04    6.979982e-02    2.911485e-07    1.216116e-05    1.981708e-04    9.298156e-01    
3.700000e-05    1.867756e-04    6.978467e-02    3.465475e-07    1.342643e-05    2.134552e-04    9.298013e-01    
4.150000e-05    1.986995e-04    6.977049e-02    4.043702e-07    1.464418e-05    2.277857e-04    9.297880e-01    
4.600000e-05    2.099040e-04    6.975714e-02    4.644219e-07    1.581931e-05    2.413104e-04    9.297754e-01    
5.050000e-05    2.204949e-04    6.974448e-02    5.265396e-07    1.695579e-05    2.541432e-04    9.297634e-01    
5.500000e-05    2.305553e-04    6.973243e-02    5.905852e-07    1.805689e-05    2.663738e-04    9.297520e-01    
5.950000e-05    2.401518e-04    6.972091e-02    6.564399e-07    1.912536e-05    2.780743e-04    9.297411e-01    
6.400000e-05    2.493387e-04    6.970986e-02    7.240005e-07    2.016356e-05    2.893039e-04    9.297306e-01    
6.850000e-05    2.581611e-04    6.969923e-02    7.931763e-07    2.117352e-05    3.001115e-04    9.297205e-01    
7.300000e-05    2.666565e-04    6.968899e-02    8.638873e-07    2.215701e-05    3.105386e-04    9.297108e-01    
7.750000e-05    2.748570e-04    6.967908e-02    9.360621e-07    2.311562e-05    3.206202e-04    9.297014e-01    
8.200000e-05    2.827898e-04    6.966949e-02    1.009637e-06    2.405072e-05    3.303864e-04    9.296923e-01    
8.650000e-05    2.904785e-04    6.966019e-02    1.084553e-06    2.496356e-05    3.398633e-04    9.296834e-01    
9.100000e-05    2.979436e-04    6.965114e-02    1.160759e-06    2.585528e-05    3.490738e-04    9.296748e-01    
9.550000e-05    3.052032e-04    6.964234e-02    1.238207e-06    2.672688e-05    3.580378e-04    9.296664e-01    
1.000000e-04    3.122729e-04    6.963377e-02    1.316854e-06    2.757929e-05    3.667731e-04    9.296583e-01    
1.450000e-04    3.750014e-04    6.955753e-02    2.161757e-06    3.520573e-05    4.443319e-04    9.295858e-01    
1.900000e-04    4.280368e-04    6.949309e-02    3.096336e-06    4.154787e-05    5.095844e-04    9.295246e-01    
2.350000e-04    4.751471e-04    6.943604e-02    4.105305e-06    4.692807e-05    5.669506e-04    9.294708e-01    
2.800000e-04    5.182649e-04    6.938410e-02    5.179295e-06    5.154842e-05    6.187721e-04    9.294221e-01    
3.250000e-04    5.585215e-04    6.933590e-02    6.312051e-06    5.554856e-05    6.664626e-04    9.293773e-01    
3.700000e-04    5.966382e-04    6.929055e-02    7.499165e-06    5.903134e-05    7.109513e-04    9.293353e-01    
4.150000e-04    6.331033e-04    6.924744e-02    8.737409e-06    6.207591e-05    7.528864e-04    9.292958e-01    
4.600000e-04    6.682624e-04    6.920614e-02    1.002436e-05    6.474525e-05    7.927408e-04    9.292581e-01    
5.050000e-04    7.023689e-04    6.916630e-02    1.135815e-05    6.709069e-05    8.308712e-04    9.292220e-01    
5.500000e-04    7.356130e-04    6.912769e-02    1.273734e-05    6.915495e-05    8.675542e-04    9.291873e-01    
5.950000e-04    7.681410e-04    6.909010e-02    1.416076e-05    7.097409e-05    9.030088e-04    9.291536e-01    
6.400000e-04    8.000674e-04    6.905337e-02    1.562750e-05    7.257888e-05    9.374114e-04    9.291209e-01    
6.850000e-04    8.314825e-04    6.901739e-02    1.713682e-05    7.399588e-05    9.709059e-04    9.290891e-01    
7.300000e-04    8.624589e-04    6.898204e-02    1.868810e-05    7.524817e-05    1.003611e-03    9.290580e-01    
7.750000e-04    8.930553e-04    6.894724e-02    2.028083e-05    7.635589e-05    1.035627e-03    9.290274e-01    
8.200000e-04    9.233196e-04    6.891293e-02    2.191460e-05    7.733675e-05    1.067036e-03    9.289975e-01    
8.650000e-04    9.532908e-04    6.887903e-02    2.358902e-05    7.820627e-05    1.097909e-03    9.289680e-01    
9.100000e-04    9.830012e-04    6.884550e-02    2.530378e-05    7.897818e-05    1.128306e-03    9.289389e-01    
9.550000e-04    1.012477e-03    6.881230e-02    2.705860e-05    7.966456e-05    1.158277e-03    9.289102e-01    
1.000000e-03    1.041742e-03    6.877940e-02    2.885321e-05    8.027607e-05    1.187867e-03    9.288819e-01    
1.000000e-03    1.041742e-03    6.877940e-02    2.885321e-05    8.027607e-05    1.187867e-03    9.288819e-01    
