Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
6.947620e-08    2.182731e-08    4.764889e-08    7.609368e-01    CH3CH3 + 2 PT(S) <=> CH2CH3(S) + H(S) + 2 PT(B)
4.507313e-05    4.511848e-05    -4.535432e-08   4.997486e-01    CH2CH2 + PT(S) <=> CH2CH2(S) + PT(B)
3.605267e-06    3.606169e-06    -9.015515e-10   4.999375e-01    CHCH + PT(S) <=> CHCH(S) + PT(B)
1.650846e-06    1.653665e-06    -2.819575e-09   4.995734e-01    CH4 + PT(S) <=> CH4(S) + PT(B)
5.856800e-06    5.902534e-06    -4.573421e-08   4.980554e-01    H2 + 2 PT(S) <=> 2 H(S) + 2 PT(B)
4.497035e-06    4.497036e-06    -1.568017e-12   4.999999e-01    CC(S) + PT(S) <=> 2 C(S) + PT(B)
8.078654e-05    8.078656e-05    -2.362802e-11   4.999999e-01    CCH(S) + PT(S) <=> C(S) + CH(S) + PT(B)
1.190713e-09    1.190764e-09    -5.170488e-14   4.999891e-01    CCH(S) + PT(S) <=> CC(S) + H(S) + PT(B)
8.400424e-09    8.311914e-09    8.850972e-11    5.026480e-01    CCH2(S) + PT(S) <=> C(S) + CH2(S) + PT(B)
3.368315e-10    3.332855e-10    3.545944e-12    5.026458e-01    CCH2(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
9.256158e-10    1.508053e-11    9.105353e-10    9.839688e-01    CCH3(S) + PT(S) <=> C(S) + CH3(S) + PT(B)
1.379027e-05    1.378940e-05    8.634371e-10    5.000157e-01    CCH3(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
2.323842e-05    2.323943e-05    -1.010399e-09   4.999891e-01    CH(S) + PT(S) <=> C(S) + H(S) + PT(B)
1.999553e-04    1.999572e-04    -1.874040e-09   4.999977e-01    CH2(S) + PT(S) <=> CH(S) + H(S) + PT(B)
2.091610e-14    2.025541e-14    6.606902e-16    5.080236e-01    CH2CH2(S) + PT(S) <=> 2 CH2(S) + PT(B)
2.438552e-08    2.386275e-08    5.227773e-10    5.054176e-01    CH2CH2(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
3.255334e-13    7.235735e-18    3.255262e-13    9.999778e-01    CH2CH3(S) + PT(S) <=> CH2(S) + CH3(S) + PT(B)
4.592588e-08    6.401344e-11    4.586186e-08    9.986081e-01    CH2CH3(S) + PT(S) <=> CH2CH2(S) + H(S) + PT(B)
1.789172e-09    2.441415e-12    1.786730e-09    9.986373e-01    CH2CH3(S) + PT(S) <=> CHCH3(S) + H(S) + PT(B)
1.654842e-10    2.984501e-09    -2.819017e-09   5.253492e-02    CH4(S) + PT(S) <=> CH3(S) + H(S) + PT(B)
3.182242e-11    1.932503e-09    -1.900681e-09   1.620018e-02    CH3(S) + PT(S) <=> CH2(S) + H(S) + PT(B)
3.507934e-10    3.507764e-10    1.694577e-14    5.000121e-01    CHCH(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
4.288262e-06    4.287870e-06    3.923341e-10    5.000229e-01    CHCH(S) + PT(S) <=> 2 CH(S) + PT(B)
3.549403e-06    3.550180e-06    -7.772362e-10   4.999453e-01    CHCH2(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
5.128182e-10    5.075041e-10    5.314181e-12    5.026042e-01    CHCH2(S) + PT(S) <=> CH(S) + CH2(S) + PT(B)
1.260944e-07    1.248003e-07    1.294090e-09    5.025790e-01    CHCH2(S) + PT(S) <=> CHCH(S) + H(S) + PT(B)
1.179247e-05    1.179070e-05    1.774646e-09    5.000376e-01    CHCH3(S) + PT(S) <=> CCH3(S) + H(S) + PT(B)
7.598623e-12    1.237760e-13    7.474847e-12    9.839718e-01    CHCH3(S) + PT(S) <=> CH(S) + CH3(S) + PT(B)
1.444828e-09    1.444204e-09    6.241288e-13    5.001080e-01    CHCH3(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
