# Steady State Reactor State
z(m)            Temperature(K)  Pressure(Pa)    Density(kg/m3)  Specific Enthalpy(J/kg)
1.000000e-06    8.730000e+02    1.013250e+05    3.930620e-01    4.887830e+05    
1.450000e-06    8.730000e+02    1.013250e+05    3.930595e-01    4.888148e+05    
1.900000e-06    8.730000e+02    1.013250e+05    3.930573e-01    4.888436e+05    
2.350000e-06    8.730000e+02    1.013250e+05    3.930553e-01    4.888703e+05    
2.800000e-06    8.730000e+02    1.013250e+05    3.930534e-01    4.888954e+05    
3.250000e-06    8.730000e+02    1.013250e+05    3.930516e-01    4.889190e+05    
3.700000e-06    8.730000e+02    1.013250e+05    3.930499e-01    4.889415e+05    
4.150000e-06    8.730000e+02    1.013250e+05    3.930482e-01    4.889630e+05    
4.600000e-06    8.730000e+02    1.013250e+05    3.930466e-01    4.889836e+05    
5.050000e-06    8.730000e+02    1.013250e+05    3.930451e-01    4.890034e+05    
5.500000e-06    8.730000e+02    1.013250e+05    3.930437e-01    4.890225e+05    
5.950000e-06    8.730000e+02    1.013250e+05    3.930423e-01    4.890411e+05    
6.400000e-06    8.730000e+02    1.013250e+05    3.930409e-01    4.890590e+05    
6.850000e-06    8.730000e+02    1.013250e+05    3.930396e-01    4.890765e+05    
7.300000e-06    8.730000e+02    1.013250e+05    3.930383e-01    4.890934e+05    
7.750000e-06    8.730000e+02    1.013250e+05    3.930370e-01    4.891099e+05    
8.200000e-06    8.730000e+02    1.013250e+05    3.930358e-01    4.891260e+05    
8.650000e-06    8.730000e+02    1.013250e+05    3.930346e-01    4.891418e+05    
9.100000e-06    8.730000e+02    1.013250e+05    3.930334e-01    4.891572e+05    
9.550000e-06    8.730000e+02    1.013250e+05    3.930323e-01    4.891722e+05    
1.000000e-05    8.730000e+02    1.013250e+05    3.930311e-01    4.891869e+05    
1.450000e-05    8.730000e+02    1.013250e+05    3.930210e-01    4.893204e+05    
1.900000e-05    8.730000e+02    1.013250e+05    3.930123e-01    4.894353e+05    
2.350000e-05    8.730000e+02    1.013250e+05    3.930045e-01    4.895375e+05    
2.800000e-05    8.730000e+02    1.013250e+05    3.929975e-01    4.896303e+05    
3.250000e-05    8.730000e+02    1.013250e+05    3.929910e-01    4.897158e+05    
3.700000e-05    8.730000e+02    1.013250e+05    3.929850e-01    4.897953e+05    
4.150000e-05    8.730000e+02    1.013250e+05    3.929793e-01    4.898699e+05    
4.600000e-05    8.730000e+02    1.013250e+05    3.929740e-01    4.899404e+05    
5.050000e-05    8.730000e+02    1.013250e+05    3.929690e-01    4.900073e+05    
5.500000e-05    8.730000e+02    1.013250e+05    3.929641e-01    4.900711e+05    
5.950000e-05    8.730000e+02    1.013250e+05    3.929595e-01    4.901322e+05    
6.400000e-05    8.730000e+02    1.013250e+05    3.929551e-01    4.901908e+05    
6.850000e-05    8.730000e+02    1.013250e+05    3.929508e-01    4.902473e+05    
7.300000e-05    8.730000e+02    1.013250e+05    3.929467e-01    4.903018e+05    
7.750000e-05    8.730000e+02    1.013250e+05    3.929428e-01    4.903545e+05    
8.200000e-05    8.730000e+02    1.013250e+05    3.929389e-01    4.904055e+05    
8.650000e-05    8.730000e+02    1.013250e+05    3.929352e-01    4.904551e+05    
9.100000e-05    8.730000e+02    1.013250e+05    3.929315e-01    4.905033e+05    
9.550000e-05    8.730000e+02    1.013250e+05    3.929280e-01    4.905502e+05    
1.000000e-04    8.730000e+02    1.013250e+05    3.929245e-01    4.905959e+05    
1.450000e-04    8.730000e+02    1.013250e+05    3.928939e-01    4.910022e+05    
1.900000e-04    8.730000e+02    1.013250e+05    3.928681e-01    4.913442e+05    
2.350000e-04    8.730000e+02    1.013250e+05    3.928453e-01    4.916448e+05    
2.800000e-04    8.730000e+02    1.013250e+05    3.928247e-01    4.919162e+05    
3.250000e-04    8.730000e+02    1.013250e+05    3.928058e-01    4.921659e+05    
3.700000e-04    8.730000e+02    1.013250e+05    3.927880e-01    4.923986e+05    
4.150000e-04    8.730000e+02    1.013250e+05    3.927713e-01    4.926177e+05    
4.600000e-04    8.730000e+02    1.013250e+05    3.927554e-01    4.928258e+05    
5.050000e-04    8.730000e+02    1.013250e+05    3.927401e-01    4.930248e+05    
5.500000e-04    8.730000e+02    1.013250e+05    3.927255e-01    4.932160e+05    
5.950000e-04    8.730000e+02    1.013250e+05    3.927112e-01    4.934007e+05    
6.400000e-04    8.730000e+02    1.013250e+05    3.926974e-01    4.935798e+05    
6.850000e-04    8.730000e+02    1.013250e+05    3.926840e-01    4.937540e+05    
7.300000e-04    8.730000e+02    1.013250e+05    3.926708e-01    4.939241e+05    
7.750000e-04    8.730000e+02    1.013250e+05    3.926579e-01    4.940905e+05    
8.200000e-04    8.730000e+02    1.013250e+05    3.926452e-01    4.942537e+05    
8.650000e-04    8.730000e+02    1.013250e+05    3.926328e-01    4.944140e+05    
9.100000e-04    8.730000e+02    1.013250e+05    3.926205e-01    4.945719e+05    
9.550000e-04    8.730000e+02    1.013250e+05    3.926084e-01    4.947275e+05    
1.000000e-03    8.730000e+02    1.013250e+05    3.925964e-01    4.948811e+05    
1.000000e-03    8.730000e+02    1.013250e+05    3.925964e-01    4.948811e+05    
