Rxn-Species-ids	Velocity(m/s)	Density	Pressure(Pa)	CH2CH2	CH3CH3	CH4	CHCH	H2	N2	CH2CH3(S)	CH3(S)	H(S)	CH2(S)	CHCH3(S)	CH2CH2(S)	CH(S)	CCH3(S)	CHCH2(S)	C(S)	CCH2(S)	CHCH(S)	CCH(S)	CC(S)	CH4(S)	PT(S)
0001	6.279896e-04	-6.279896e-04	-2.439086e-11	5.844923e-01	-9.093259e-03	4.844561e-01	1.189629e-01	5.227863e-01	-4.951376e-15	5.753245e-01	2.379178e-01	2.423382e-01	3.013599e-01	6.165914e-01	5.649420e-01	4.008381e-02	3.553188e-01	3.551631e-01	-2.211843e-01	9.401186e-02	9.919475e-02	-1.621597e-01	-4.234278e-01	4.649170e-01	-1.894074e-02
0002	2.904132e-06	-2.904132e-06	-1.127953e-13	2.859368e-03	-4.358446e-05	3.901561e-03	-4.646026e-04	2.397443e-03	-3.334174e-17	3.233947e-05	1.081218e-03	1.633646e-03	1.399323e-03	2.333524e-03	2.296741e-03	2.137054e-04	1.148243e-03	1.148892e-03	-9.718945e-04	-3.724022e-05	-2.011623e-05	-1.206205e-03	-2.391805e-03	4.343683e-03	4.480155e-04
0003	1.628914e-06	-1.628914e-06	-6.326636e-14	1.436536e-03	-2.334389e-05	2.971716e-03	8.247515e-04	1.335202e-03	-2.076294e-16	-4.157972e-04	7.054353e-04	4.735421e-04	7.584874e-04	1.618958e-03	1.247335e-03	9.906886e-05	9.598382e-04	9.604958e-04	-5.603560e-04	3.005891e-04	3.843719e-04	-2.754008e-04	-9.348254e-04	2.781322e-03	-1.858866e-04
0004	3.013342e-11	-3.008634e-11	-1.170413e-18	3.624489e-08	-9.573499e-10	2.256344e-06	-5.560059e-08	-3.132008e-09	-9.035826e-17	2.843205e-08	-9.293840e-05	2.685166e-08	-1.051956e-09	-2.477568e-08	6.494086e-08	8.928653e-10	-2.285139e-08	-2.236820e-08	2.884241e-09	-2.082392e-08	-2.682272e-08	-2.500365e-08	-2.301521e-08	-1.702424e-03	2.878280e-08
0005	-7.529599e-06	7.529599e-06	2.924465e-13	-8.082181e-03	1.210768e-04	-2.447017e-02	5.543035e-03	-6.041565e-03	6.242127e-16	-1.832372e-03	-6.109794e-03	-1.095345e-02	-8.176071e-03	-1.222459e-02	-1.216650e-02	-1.320923e-03	-5.370951e-03	-5.373027e-03	5.534153e-03	1.483793e-03	1.453403e-03	8.311464e-03	1.516654e-02	-2.853971e-02	-4.098235e-03
0006	5.269363e-13	-5.056253e-13	-2.048564e-20	-9.153318e-12	1.424674e-13	-6.370353e-12	-2.746134e-13	-8.087541e-12	-5.570973e-17	1.166710e-12	-4.189861e-12	-4.186346e-12	-4.223781e-12	-1.167833e-11	-8.665651e-12	-9.163611e-13	-7.070195e-12	-6.185201e-12	4.260900e-12	-1.837136e-12	-1.060469e-12	2.346862e-12	1.141225e-08	-6.893645e-12	-1.448684e-12
0007	2.503867e-14	4.486961e-14	-9.522255e-22	-1.861955e-10	2.757404e-12	-3.432677e-10	1.143659e-10	-1.437643e-10	-8.166069e-17	-3.973981e-11	-8.746954e-11	-1.344756e-10	-7.429573e-11	-2.099378e-10	-2.492135e-10	-6.600397e-13	-1.388891e-10	-1.354332e-10	6.752844e-11	-6.723680e-11	5.167235e-11	-4.461164e-08	1.871707e-10	-4.042637e-10	-6.174365e-11
0008	8.464428e-13	-8.928197e-13	-3.286649e-20	9.536895e-10	-1.530840e-11	2.116574e-09	3.589860e-10	8.590425e-10	-6.823629e-17	2.452729e-10	9.498088e-10	8.175635e-10	9.978574e-10	1.431977e-09	1.365221e-09	5.736223e-10	1.007353e-09	1.014288e-09	-2.059945e-09	5.829532e-10	7.511075e-10	-1.241950e-09	-1.591311e-08	2.527284e-09	3.918538e-10
0009	-2.118617e-06	2.118618e-06	8.228623e-14	-2.125911e-03	3.236669e-05	-4.126262e-03	5.981392e-04	-1.733434e-03	-1.937492e-16	-1.012211e-04	-9.892162e-04	-1.260030e-03	-9.507864e-04	-2.241406e-03	-2.523677e-03	-9.328522e-05	-1.383814e-03	-1.361507e-03	7.681118e-04	-5.260657e-04	1.962305e-04	1.076934e-03	1.938333e-03	-4.522105e-03	-4.021107e-04
0010	-8.495505e-08	8.495491e-08	3.299619e-15	-8.524460e-05	1.297868e-06	-1.655212e-04	2.396958e-05	-6.950825e-05	5.274589e-17	-4.052632e-06	-3.967749e-05	-5.051925e-05	-3.814458e-05	-8.986373e-05	-1.011883e-04	-3.742243e-06	-5.547550e-05	-5.458181e-05	3.079845e-05	-2.108101e-05	7.859772e-06	4.321786e-05	7.771476e-05	-1.813877e-04	-1.611789e-05
