# Gas Mass fractions
z(m)            CH2CH2          CH3CH3          CH4             CHCH            H2              N2              
1.000000e-06    1.632120e-05    7.473513e-02    2.492350e-09    6.593695e-07    1.274812e-06    9.252466e-01    
1.450000e-06    2.194565e-05    7.472882e-02    3.676412e-09    9.050934e-07    1.716969e-06    9.252466e-01    
1.900000e-06    2.704104e-05    7.472309e-02    4.913981e-09    1.136239e-06    2.118845e-06    9.252466e-01    
2.350000e-06    3.174224e-05    7.471779e-02    6.205638e-09    1.356787e-06    2.490751e-06    9.252466e-01    
2.800000e-06    3.613242e-05    7.471284e-02    7.550482e-09    1.569105e-06    2.839029e-06    9.252466e-01    
3.250000e-06    4.026764e-05    7.470817e-02    8.947055e-09    1.774741e-06    3.167947e-06    9.252466e-01    
3.700000e-06    4.418814e-05    7.470374e-02    1.039371e-08    1.974777e-06    3.480564e-06    9.252466e-01    
4.150000e-06    4.792407e-05    7.469951e-02    1.188876e-08    2.170006e-06    3.779171e-06    9.252466e-01    
4.600000e-06    5.149886e-05    7.469545e-02    1.343057e-08    2.361030e-06    4.065543e-06    9.252466e-01    
5.050000e-06    5.493113e-05    7.469156e-02    1.501756e-08    2.548321e-06    4.341094e-06    9.252466e-01    
5.500000e-06    5.823606e-05    7.468780e-02    1.664823e-08    2.732259e-06    4.606971e-06    9.252466e-01    
5.950000e-06    6.142624e-05    7.468417e-02    1.832118e-08    2.913154e-06    4.864128e-06    9.252466e-01    
6.400000e-06    6.451222e-05    7.468065e-02    2.003508e-08    3.091263e-06    5.113364e-06    9.252466e-01    
6.850000e-06    6.750301e-05    7.467724e-02    2.178869e-08    3.266805e-06    5.355359e-06    9.252466e-01    
7.300000e-06    7.040634e-05    7.467393e-02    2.358082e-08    3.439966e-06    5.590698e-06    9.252466e-01    
7.750000e-06    7.322894e-05    7.467071e-02    2.541037e-08    3.610906e-06    5.819889e-06    9.252466e-01    
8.200000e-06    7.597670e-05    7.466756e-02    2.727630e-08    3.779765e-06    6.043378e-06    9.252466e-01    
8.650000e-06    7.865482e-05    7.466450e-02    2.917764e-08    3.946667e-06    6.261557e-06    9.252466e-01    
9.100000e-06    8.126791e-05    7.466151e-02    3.111344e-08    4.111721e-06    6.474774e-06    9.252466e-01    
9.550000e-06    8.382008e-05    7.465858e-02    3.308284e-08    4.275024e-06    6.683341e-06    9.252466e-01    
1.000000e-05    8.631504e-05    7.465572e-02    3.508501e-08    4.436664e-06    6.887536e-06    9.252466e-01    
1.450000e-05    1.087235e-04    7.462990e-02    5.675277e-08    5.975879e-06    8.734827e-06    9.252466e-01    
1.900000e-05    1.277701e-04    7.460781e-02    8.102456e-08    7.404901e-06    1.032330e-05    9.252466e-01    
2.350000e-05    1.445292e-04    7.458827e-02    1.074903e-07    8.750234e-06    1.173430e-05    9.252466e-01    
2.800000e-05    1.596072e-04    7.457061e-02    1.358595e-07    1.002768e-05    1.301385e-05    9.252466e-01    
3.250000e-05    1.733863e-04    7.455440e-02    1.659150e-07    1.124781e-05    1.419109e-05    9.252466e-01    
3.700000e-05    1.861260e-04    7.453936e-02    1.974879e-07    1.241825e-05    1.528584e-05    9.252466e-01    
4.150000e-05    1.980113e-04    7.452529e-02    2.304428e-07    1.354475e-05    1.631231e-05    9.252466e-01    
4.600000e-05    2.091799e-04    7.451203e-02    2.646687e-07    1.463186e-05    1.728108e-05    9.252466e-01    
5.050000e-05    2.197371e-04    7.449947e-02    3.000727e-07    1.568323e-05    1.820032e-05    9.252466e-01    
5.500000e-05    2.297657e-04    7.448751e-02    3.365762e-07    1.670190e-05    1.907644e-05    9.252466e-01    
5.950000e-05    2.393321e-04    7.447608e-02    3.741114e-07    1.769040e-05    1.991461e-05    9.252466e-01    
6.400000e-05    2.484905e-04    7.446512e-02    4.126194e-07    1.865091e-05    2.071906e-05    9.252466e-01    
6.850000e-05    2.572856e-04    7.445457e-02    4.520488e-07    1.958532e-05    2.149330e-05    9.252466e-01    
7.300000e-05    2.657550e-04    7.444441e-02    4.923537e-07    2.049526e-05    2.224030e-05    9.252466e-01    
7.750000e-05    2.739305e-04    7.443458e-02    5.334935e-07    2.138218e-05    2.296256e-05    9.252466e-01    
8.200000e-05    2.818394e-04    7.442507e-02    5.754317e-07    2.224738e-05    2.366224e-05    9.252466e-01    
8.650000e-05    2.895050e-04    7.441583e-02    6.181354e-07    2.309200e-05    2.434121e-05    9.252466e-01    
9.100000e-05    2.969479e-04    7.440686e-02    6.615748e-07    2.391708e-05    2.500110e-05    9.252466e-01    
9.550000e-05    3.041859e-04    7.439813e-02    7.057227e-07    2.472356e-05    2.564334e-05    9.252466e-01    
1.000000e-04    3.112348e-04    7.438962e-02    7.505543e-07    2.551231e-05    2.626921e-05    9.252466e-01    
1.450000e-04    3.737839e-04    7.431398e-02    1.232212e-06    3.256971e-05    3.182665e-05    9.252466e-01    
1.900000e-04    4.266752e-04    7.425001e-02    1.765042e-06    3.843951e-05    3.650296e-05    9.252466e-01    
2.350000e-04    4.736630e-04    7.419335e-02    2.340333e-06    4.341971e-05    4.061462e-05    9.252466e-01    
2.800000e-04    5.166732e-04    7.414174e-02    2.952743e-06    4.769714e-05    4.432927e-05    9.252466e-01    
3.250000e-04    5.568331e-04    7.409381e-02    3.598707e-06    5.140090e-05    4.774816e-05    9.252466e-01    
3.700000e-04    5.948613e-04    7.404869e-02    4.275712e-06    5.462610e-05    5.093781e-05    9.252466e-01    
4.150000e-04    6.312447e-04    7.400577e-02    4.981919e-06    5.744591e-05    5.394465e-05    9.252466e-01    
4.600000e-04    6.663277e-04    7.396463e-02    5.715948e-06    5.991858e-05    5.680254e-05    9.252466e-01    
5.050000e-04    7.003626e-04    7.392492e-02    6.476736e-06    6.209159e-05    5.953702e-05    9.252466e-01    
5.500000e-04    7.335392e-04    7.388642e-02    7.263456e-06    6.400443e-05    6.216791e-05    9.252466e-01    
5.950000e-04    7.660033e-04    7.384891e-02    8.075454e-06    6.569046e-05    6.471089e-05    9.252466e-01    
6.400000e-04    7.978688e-04    7.381225e-02    8.912207e-06    6.717814e-05    6.717859e-05    9.252466e-01    
6.850000e-04    8.292260e-04    7.377632e-02    9.773290e-06    6.849205e-05    6.958132e-05    9.252466e-01    
7.300000e-04    8.601472e-04    7.374100e-02    1.065836e-05    6.965353e-05    7.192761e-05    9.252466e-01    
7.750000e-04    8.906909e-04    7.370623e-02    1.156712e-05    7.068121e-05    7.422456e-05    9.252466e-01    
8.200000e-04    9.209047e-04    7.367192e-02    1.249933e-05    7.159149e-05    7.647815e-05    9.252466e-01    
8.650000e-04    9.508277e-04    7.363802e-02    1.345480e-05    7.239871e-05    7.869342e-05    9.252466e-01    
9.100000e-04    9.804920e-04    7.360448e-02    1.443332e-05    7.311559e-05    8.087467e-05    9.252466e-01    
9.550000e-04    1.009924e-03    7.357125e-02    1.543475e-05    7.375329e-05    8.302554e-05    9.252466e-01    
1.000000e-03    1.039146e-03    7.353831e-02    1.645893e-05    7.432170e-05    8.514914e-05    9.252466e-01    
1.000000e-03    1.039146e-03    7.353831e-02    1.645893e-05    7.432170e-05    8.514914e-05    9.252466e-01    
