Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
6.947625e-08    2.182731e-08    4.764894e-08    7.609369e-01    CH3CH3 + 2 PT(S) <=> CH2CH3(S) + H(S) + 2 PT(B)
4.507315e-05    4.511848e-05    -4.533909e-08   4.997487e-01    CH2CH2 + PT(S) <=> CH2CH2(S) + PT(B)
3.605268e-06    3.606169e-06    -9.003342e-10   4.999376e-01    CHCH + PT(S) <=> CHCH(S) + PT(B)
1.650846e-06    1.653665e-06    -2.819017e-09   4.995735e-01    CH4 + PT(S) <=> CH4(S) + PT(B)
5.856804e-06    5.902534e-06    -4.573025e-08   4.980556e-01    H2 + 2 PT(S) <=> 2 H(S) + 2 PT(B)
4.497036e-06    4.497036e-06    -5.130328e-14   5.000000e-01    CC(S) + PT(S) <=> 2 C(S) + PT(B)
8.078657e-05    8.078656e-05    3.614426e-12    5.000000e-01    CCH(S) + PT(S) <=> C(S) + CH(S) + PT(B)
1.190713e-09    1.190764e-09    -5.130328e-14   4.999892e-01    CCH(S) + PT(S) <=> CC(S) + H(S) + PT(B)
8.400427e-09    8.311914e-09    8.851255e-11    5.026481e-01    CCH2(S) + PT(S) <=> C(S) + CH2(S) + PT(B)
3.368316e-10    3.332855e-10    3.546058e-12    5.026458e-01    CCH2(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
9.256161e-10    1.508053e-11    9.105356e-10    9.839688e-01    CCH3(S) + PT(S) <=> C(S) + CH3(S) + PT(B)
1.379027e-05    1.378940e-05    8.680958e-10    5.000157e-01    CCH3(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
2.323842e-05    2.323943e-05    -1.002560e-09   4.999892e-01    CH(S) + PT(S) <=> C(S) + H(S) + PT(B)
1.999553e-04    1.999572e-04    -1.806527e-09   4.999977e-01    CH2(S) + PT(S) <=> CH(S) + H(S) + PT(B)
2.091611e-14    2.025541e-14    6.606973e-16    5.080237e-01    CH2CH2(S) + PT(S) <=> 2 CH2(S) + PT(B)
2.438553e-08    2.386275e-08    5.227855e-10    5.054177e-01    CH2CH2(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
3.255335e-13    7.235735e-18    3.255263e-13    9.999778e-01    CH2CH3(S) + PT(S) <=> CH2(S) + CH3(S) + PT(B)
4.592589e-08    6.401344e-11    4.586188e-08    9.986081e-01    CH2CH3(S) + PT(S) <=> CH2CH2(S) + H(S) + PT(B)
1.789172e-09    2.441415e-12    1.786731e-09    9.986373e-01    CH2CH3(S) + PT(S) <=> CHCH3(S) + H(S) + PT(B)
1.654843e-10    2.984501e-09    -2.819017e-09   5.253494e-02    CH4(S) + PT(S) <=> CH3(S) + H(S) + PT(B)
3.182243e-11    1.932503e-09    -1.900681e-09   1.620018e-02    CH3(S) + PT(S) <=> CH2(S) + H(S) + PT(B)
3.507935e-10    3.507764e-10    1.706422e-14    5.000122e-01    CHCH(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
4.288264e-06    4.287870e-06    3.937816e-10    5.000230e-01    CHCH(S) + PT(S) <=> 2 CH(S) + PT(B)
3.549404e-06    3.550180e-06    -7.760372e-10   4.999453e-01    CHCH2(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
5.128184e-10    5.075041e-10    5.314354e-12    5.026043e-01    CHCH2(S) + PT(S) <=> CH(S) + CH2(S) + PT(B)
1.260944e-07    1.248003e-07    1.294133e-09    5.025790e-01    CHCH2(S) + PT(S) <=> CHCH(S) + H(S) + PT(B)
1.179247e-05    1.179070e-05    1.778631e-09    5.000377e-01    CHCH3(S) + PT(S) <=> CCH3(S) + H(S) + PT(B)
7.598626e-12    1.237760e-13    7.474850e-12    9.839718e-01    CHCH3(S) + PT(S) <=> CH(S) + CH3(S) + PT(B)
1.444828e-09    1.444204e-09    6.246171e-13    5.001081e-01    CHCH3(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
