t(s),N2,NH3,H2
1.00000000e-08,8.25761752e-01,6.18410078e-05,1.74176407e-01
1.45000000e-08,8.22850625e-01,1.68905106e-04,1.76980470e-01
1.90000000e-08,8.19848531e-01,3.16976695e-04,1.79834492e-01
2.35000000e-08,8.16882867e-01,4.98263943e-04,1.82618869e-01
2.80000000e-08,8.13982337e-01,7.09100201e-04,1.85308563e-01
3.25000000e-08,8.11151955e-01,9.47527605e-04,1.87900518e-01
3.70000000e-08,8.08390968e-01,1.21219720e-03,1.90396834e-01
4.15000000e-08,8.05697226e-01,1.50195937e-03,1.92800814e-01
4.60000000e-08,8.03068326e-01,1.81575203e-03,1.95115922e-01
5.05000000e-08,8.00501930e-01,2.15251702e-03,1.97345553e-01
5.50000000e-08,7.97995829e-01,2.51123192e-03,1.99492939e-01
5.95000000e-08,7.95547968e-01,2.89087887e-03,2.01561153e-01
6.40000000e-08,7.93156437e-01,3.29044743e-03,2.03553115e-01
6.85000000e-08,7.90819596e-01,3.70898261e-03,2.05471421e-01
7.30000000e-08,7.88535482e-01,4.14538181e-03,2.07319136e-01
7.75000000e-08,7.86302729e-01,4.59873629e-03,2.09098535e-01
8.20000000e-08,7.84119889e-01,5.06807239e-03,2.10812039e-01
8.65000000e-08,7.81985584e-01,5.55241138e-03,2.12462005e-01
9.10000000e-08,7.79898544e-01,6.05079792e-03,2.14050658e-01
9.55000000e-08,7.77857582e-01,6.56227925e-03,2.15580139e-01
1.00000000e-07,7.75861583e-01,7.08590331e-03,2.17052513e-01
1.45000000e-07,7.58175857e-01,1.27835013e-02,2.29040642e-01
1.90000000e-07,7.44145084e-01,1.87420857e-02,2.37112830e-01
2.35000000e-07,7.33190819e-01,2.43915304e-02,2.42417650e-01
2.80000000e-07,7.24739505e-01,2.94796418e-02,2.45780853e-01
3.25000000e-07,7.18217872e-01,3.39739098e-02,2.47808218e-01
3.70000000e-07,7.13111761e-01,3.79518888e-02,2.48936350e-01
4.15000000e-07,7.09001923e-01,4.15229493e-02,2.49475128e-01
4.60000000e-07,7.05578584e-01,4.47875425e-02,2.49633873e-01
5.05000000e-07,7.02623912e-01,4.78244940e-02,2.49551593e-01
5.50000000e-07,6.99990115e-01,5.06909833e-02,2.49318902e-01
5.95000000e-07,6.97580301e-01,5.34261894e-02,2.48993510e-01
6.40000000e-07,6.95329857e-01,5.60569928e-02,2.48613150e-01
6.85000000e-07,6.93196988e-01,5.86014934e-02,2.48201519e-01
7.30000000e-07,6.91155225e-01,6.10713835e-02,2.47773391e-01
7.75000000e-07,6.89185407e-01,6.34753510e-02,2.47339242e-01
8.20000000e-07,6.87277290e-01,6.58188828e-02,2.46903827e-01
8.65000000e-07,6.85421089e-01,6.81065627e-02,2.46472348e-01
9.10000000e-07,6.83613569e-01,7.03405785e-02,2.46045852e-01
9.55000000e-07,6.81849060e-01,7.25241060e-02,2.45626834e-01
1.00000000e-06,6.80127184e-01,7.46578656e-02,2.45214950e-01
1.45000000e-06,6.64896482e-01,9.35583481e-02,2.41545170e-01
1.90000000e-06,6.52714920e-01,1.08675789e-01,2.38609291e-01
2.35000000e-06,6.42973489e-01,1.20762550e-01,2.36263961e-01
2.80000000e-06,6.35187851e-01,1.30421246e-01,2.34390903e-01
3.25000000e-06,6.28968159e-01,1.38136455e-01,2.32895387e-01
3.70000000e-06,6.24001314e-01,1.44297112e-01,2.31701574e-01
4.15000000e-06,6.20034797e-01,1.49216730e-01,2.30748473e-01
4.60000000e-06,6.16866978e-01,1.53145570e-01,2.29987453e-01
5.05000000e-06,6.14342410e-01,1.56276529e-01,2.29381061e-01
5.50000000e-06,6.12328812e-01,1.58773733e-01,2.28897456e-01
5.95000000e-06,6.10722671e-01,1.60765590e-01,2.28511739e-01
6.40000000e-06,6.09441073e-01,1.62354953e-01,2.28203974e-01
6.85000000e-06,6.08418335e-01,1.63623289e-01,2.27958376e-01
7.30000000e-06,6.07601844e-01,1.64635854e-01,2.27762303e-01
7.75000000e-06,6.06950110e-01,1.65444102e-01,2.27605788e-01
8.20000000e-06,6.06430565e-01,1.66088424e-01,2.27481010e-01
8.65000000e-06,6.06016657e-01,1.66601749e-01,2.27381594e-01
9.10000000e-06,6.05686968e-01,1.67010636e-01,2.27302395e-01
9.55000000e-06,6.05424288e-01,1.67336429e-01,2.27239283e-01
1.00000000e-05,6.05214940e-01,1.67596088e-01,2.27188972e-01
1.45000000e-05,6.04478210e-01,1.68510273e-01,2.27011517e-01
