t(s),N2,NH3,H2
1.00000000e-08,2.54378765e-01,3.13355719e-05,7.45589899e-01
1.45000000e-08,2.50684170e-01,8.46415601e-05,7.49231189e-01
1.90000000e-08,2.46992914e-01,1.57077210e-04,7.52850009e-01
2.35000000e-08,2.43457276e-01,2.44262842e-04,7.56298461e-01
2.80000000e-08,2.40101052e-01,3.44050083e-04,7.59554897e-01
3.25000000e-08,2.36919514e-01,4.55224325e-04,7.62625262e-01
3.70000000e-08,2.33902144e-01,5.76927181e-04,7.65520929e-01
4.15000000e-08,2.31037825e-01,7.08442129e-04,7.68253733e-01
4.60000000e-08,2.28316079e-01,8.49132599e-04,7.70834788e-01
5.05000000e-08,2.25727273e-01,9.98396895e-04,7.73274330e-01
5.50000000e-08,2.23262633e-01,1.15567900e-03,7.75581688e-01
5.95000000e-08,2.20914160e-01,1.32045028e-03,7.77765389e-01
6.40000000e-08,2.18674552e-01,1.49220786e-03,7.79833240e-01
6.85000000e-08,2.16537308e-01,1.67049463e-03,7.81792197e-01
7.30000000e-08,2.14495903e-01,1.85480080e-03,7.83649296e-01
7.75000000e-08,2.12544955e-01,2.04472308e-03,7.85410322e-01
8.20000000e-08,2.10679281e-01,2.23984075e-03,7.87080879e-01
8.65000000e-08,2.08894064e-01,2.43974234e-03,7.88666194e-01
9.10000000e-08,2.07184888e-01,2.64403737e-03,7.90171075e-01
9.55000000e-08,2.05547657e-01,2.85234546e-03,7.91599998e-01
1.00000000e-07,2.03978571e-01,3.06429444e-03,7.92957135e-01
1.45000000e-07,1.91366066e-01,5.30737500e-03,8.03326559e-01
1.90000000e-07,1.82843189e-01,7.57485051e-03,8.09581960e-01
2.35000000e-07,1.77017680e-01,9.68665096e-03,8.13295669e-01
2.80000000e-07,1.73028328e-01,1.15769046e-02,8.15394768e-01
3.25000000e-07,1.70290548e-01,1.32499683e-02,8.16459483e-01
3.70000000e-07,1.68396588e-01,1.47415809e-02,8.16861831e-01
4.15000000e-07,1.67061126e-01,1.60935243e-02,8.16845350e-01
4.60000000e-07,1.66091980e-01,1.73418521e-02,8.16566168e-01
5.05000000e-07,1.65361522e-01,1.85138566e-02,8.16124621e-01
5.50000000e-07,1.64786347e-01,1.96288570e-02,8.15584796e-01
5.95000000e-07,1.64313132e-01,2.06998520e-02,8.14987016e-01
6.40000000e-07,1.63906919e-01,2.17355774e-02,8.14357503e-01
6.85000000e-07,1.63545534e-01,2.27418442e-02,8.13712622e-01
7.30000000e-07,1.63215089e-01,2.37223355e-02,8.13062576e-01
7.75000000e-07,1.62905663e-01,2.46797181e-02,8.12414619e-01
8.20000000e-07,1.62612370e-01,2.56157495e-02,8.11771881e-01
