t(s),N2,NH3,H2
1.00000000e-08,-1.35475560e-02,1.16061737e-04,-9.27128422e-04
1.45000000e-08,-1.22043833e-02,1.77690962e-04,4.63860341e-03
1.90000000e-08,-1.12953322e-02,2.25469968e-04,5.62397885e-03
2.35000000e-08,-1.05905957e-02,2.62365799e-04,5.54259417e-03
2.80000000e-08,-9.91885999e-03,2.97301539e-04,5.21928952e-03
3.25000000e-08,-9.45044537e-03,3.21774266e-04,4.94735520e-03
3.70000000e-08,-8.80769554e-03,3.55586479e-04,4.54931603e-03
4.15000000e-08,-8.41396878e-03,3.76676171e-04,4.29957216e-03
4.60000000e-08,-8.04499830e-03,3.96293399e-04,4.06325458e-03
5.05000000e-08,-7.60547495e-03,4.19775472e-04,3.77951854e-03
5.50000000e-08,-7.29771889e-03,4.36259783e-04,3.57966992e-03
5.95000000e-08,-6.91377261e-03,4.56744735e-04,3.32935648e-03
6.40000000e-08,-6.61543305e-03,4.72567156e-04,3.13421522e-03
6.85000000e-08,-6.25184794e-03,4.91640702e-04,2.89585276e-03
7.30000000e-08,-5.99740845e-03,5.04797941e-04,2.72884956e-03
7.75000000e-08,-5.66506511e-03,5.21646830e-04,2.51064278e-03
8.20000000e-08,-5.39698423e-03,5.34867139e-04,2.33475320e-03
8.65000000e-08,-5.14542964e-03,5.46875990e-04,2.16998159e-03
9.10000000e-08,-4.90902350e-03,5.57713793e-04,2.01553555e-03
9.55000000e-08,-4.79611998e-03,5.62703928e-04,1.94195426e-03
1.00000000e-07,-4.58018169e-03,5.71843175e-04,1.80166187e-03
1.45000000e-07,-3.01864811e-03,6.07963966e-04,8.22893238e-04
1.90000000e-07,-2.05334159e-03,5.78633783e-04,2.88906388e-04
2.35000000e-07,-1.40223239e-03,5.20442494e-04,-1.35781011e-05
2.80000000e-07,-9.86271987e-04,4.63056708e-04,-1.76002153e-04
3.25000000e-07,-6.87483421e-04,4.08413472e-04,-2.75194268e-04
3.70000000e-07,-4.83330995e-04,3.64670718e-04,-3.34069513e-04
4.15000000e-07,-3.40284099e-04,3.29296227e-04,-3.69029387e-04
4.60000000e-07,-2.50572076e-04,3.03717665e-04,-3.85766681e-04
5.05000000e-07,-2.07444119e-04,2.89470127e-04,-3.90617089e-04
5.50000000e-07,-1.77633936e-04,2.78076525e-04,-3.91186315e-04
5.95000000e-07,-1.57652681e-04,2.69023839e-04,-3.89138858e-04
6.40000000e-07,-1.42320696e-04,2.61165387e-04,-3.85019328e-04
6.85000000e-07,-1.28231210e-04,2.51059187e-04,-3.76885388e-04
7.30000000e-07,-1.22364804e-04,2.45484953e-04,-3.71079076e-04
7.75000000e-07,-1.15024068e-04,2.40271450e-04,-3.64226994e-04
8.20000000e-07,-1.13752135e-04,2.34815288e-04,-3.57839554e-04
8.65000000e-07,-1.10537726e-04,2.29461322e-04,-3.51040684e-04
9.10000000e-07,-1.07710918e-04,2.24779689e-04,-3.44114856e-04
9.55000000e-07,-1.03380641e-04,2.19571122e-04,-3.36224169e-04
1.00000000e-06,-1.00612752e-04,2.14346297e-04,-3.28407475e-04
1.45000000e-06,-7.96859471e-05,1.70396661e-04,-2.61248616e-04
1.90000000e-06,-6.42639667e-05,1.37319033e-04,-2.10469379e-04
2.35000000e-06,-4.90436135e-05,1.04734394e-04,-1.60484330e-04
2.80000000e-06,-3.94769406e-05,8.42741413e-05,-1.29106559e-04
3.25000000e-06,-3.28687540e-05,7.01542215e-05,-1.07470007e-04
3.70000000e-06,-2.64287331e-05,5.63959447e-05,-8.63862906e-05
4.15000000e-06,-2.09034294e-05,4.45986765e-05,-6.83100849e-05
4.60000000e-06,-1.61244761e-05,3.43980666e-05,-5.26829903e-05
5.05000000e-06,-1.31540054e-05,2.80587575e-05,-4.29718990e-05
5.50000000e-06,-1.07344027e-05,2.28960460e-05,-3.50643017e-05
5.95000000e-06,-7.72083591e-06,1.64667636e-05,-2.52171720e-05
6.40000000e-06,-6.54942162e-06,1.39682453e-05,-2.13907895e-05
6.85000000e-06,-4.19954793e-06,8.95582940e-06,-1.37143330e-05
7.30000000e-06,-4.19954793e-06,8.95582940e-06,-1.37143330e-05
7.75000000e-06,-3.18499000e-06,6.79274131e-06,-1.04027582e-05
8.20000000e-06,-2.40856346e-06,5.13711716e-06,-7.86694995e-06
8.65000000e-06,-1.81994208e-06,3.88041053e-06,-5.94210308e-06
9.10000000e-06,-1.37162507e-06,2.92591240e-06,-4.48049848e-06
9.55000000e-06,-1.37162507e-06,2.92591240e-06,-4.48049848e-06
1.00000000e-05,-1.03736895e-06,2.21030687e-06,-3.38451940e-06
1.45000000e-05,-1.14591885e-07,2.36084628e-07,-3.59988234e-07
1.90000000e-05,-1.27958680e-08,2.47830072e-08,-3.65189939e-08
2.35000000e-05,-1.12344686e-09,3.52228672e-09,-5.10657568e-09
2.80000000e-05,-1.01139721e-09,1.42777554e-09,-1.93950429e-09
3.25000000e-05,-7.26039894e-10,1.20784798e-09,-1.72050187e-09
3.70000000e-05,-5.84530089e-10,1.06114990e-09,-1.54439260e-09
4.15000000e-05,-5.84530089e-10,1.06114990e-09,-1.54439260e-09
4.60000000e-05,-5.38671481e-10,9.73655173e-10,-1.41446567e-09
5.05000000e-05,-5.38671481e-10,9.73655173e-10,-1.41446567e-09
5.50000000e-05,-5.38671481e-10,9.73655173e-10,-1.41446567e-09
5.95000000e-05,-5.38671481e-10,9.73655173e-10,-1.41446567e-09
6.40000000e-05,-5.38671481e-10,9.73655173e-10,-1.41446567e-09
6.85000000e-05,-5.38671481e-10,9.73655173e-10,-1.41446567e-09
7.30000000e-05,-5.38671481e-10,9.73655173e-10,-1.41446567e-09
7.75000000e-05,-5.38671481e-10,9.73655173e-10,-1.41446567e-09
8.20000000e-05,-4.51318308e-10,7.89207609e-10,-1.13414209e-09
8.65000000e-05,-4.51318308e-10,7.89207609e-10,-1.13414209e-09
9.10000000e-05,-4.51318308e-10,7.89207609e-10,-1.13414209e-09
9.55000000e-05,-4.51318308e-10,7.89207609e-10,-1.13414209e-09
1.00000000e-04,-4.51318308e-10,7.89207609e-10,-1.13414209e-09
1.45000000e-04,-4.51318308e-10,7.89207609e-10,-1.13414209e-09
1.90000000e-04,-4.51318308e-10,7.89207609e-10,-1.13414209e-09
2.35000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
2.80000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
3.25000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
3.70000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
4.15000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
4.60000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
5.05000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
5.50000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
5.95000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
6.40000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
6.85000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
7.30000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
7.75000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
8.20000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
8.65000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
9.10000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
9.55000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
1.00000000e-03,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
1.45000000e-03,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
1.90000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
2.35000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
2.80000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
3.25000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
3.70000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
4.15000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
4.60000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
