Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
8.489437e-03    8.489428e-03    9.264294e-09    5.000003e-01    H2 + 2 RU(T) <=> 2 H(T) + 2 RU(B)
1.266403e-02    1.266403e-02    3.060831e-09    5.000001e-01    N2 + RU(T) <=> N2(T) + RU(B)
3.964214e-03    3.964220e-03    -6.090250e-09   4.999996e-01    NH3 + RU(T) <=> NH3(T) + RU(B)
9.144110e-03    9.144116e-03    -6.145917e-09   4.999998e-01    NH3(T) + RU(T) <=> H(T) + NH2(T) + RU(B)
2.071749e+01    2.071749e+01    -9.332009e-08   5.000000e-01    NH2(T) + RU(T) <=> H(T) + NH(T) + RU(B)
5.770763e+02    5.770763e+02    -3.806079e-06   5.000000e-01    NH(T) + RU(T) <=> H(T) + N(T) + RU(B)
1.452806e+00    1.452806e+00    8.468567e-09    5.000000e-01    N2(T) + RU(T) <=> 2 N(T) + RU(B)
4.409894e-06    4.409883e-06    1.142168e-11    5.000006e-01    H2 + 2 RU(S) <=> 2 H(S) + 2 RU(B)
2.886335e-04    2.886335e-04    3.654081e-12    5.000000e-01    N2 + RU(S) <=> N2(S) + RU(B)
9.035075e-05    9.035076e-05    -6.693964e-12   5.000000e-01    NH3 + RU(S) <=> NH3(S) + RU(B)
2.814942e-02    2.814942e-02    -5.911226e-11   5.000000e-01    NH3(S) + RU(S) <=> H(S) + NH2(S) + RU(B)
4.012965e+00    4.012965e+00    -1.689793e-08   5.000000e-01    NH2(S) + RU(S) <=> H(S) + NH(S) + RU(B)
1.047492e+01    1.047492e+01    6.898069e-08    5.000000e-01    H(S) + N(S) + RU(B) <=> NH(S) + RU(S)
2.196455e+01    2.196455e+01    8.164731e-08    5.000000e-01    N2(S) + RU(S) <=> 2 N(S) + RU(B)
