t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
1.00000000e-08,9.00000000e+02,9.36050900e+04,1.07950333e-01,1.07950333e-07,1.00000000e-06,3.37443882e+06-1.15305513e-07,-1.15228215e-07,-3.79413676e-01,-3.79413676e-01,
1.45000000e-08,9.00000000e+02,9.32593203e+04,1.06364470e-01,1.06364470e-07,1.00000000e-06,3.41804532e+06-1.15305513e-07,-1.15224760e-07,-3.29515914e-01,-3.29515914e-01,
1.90000000e-08,9.00000000e+02,9.30453593e+04,1.04940715e-01,1.04940715e-07,1.00000000e-06,3.46230241e+06-1.15305513e-07,-1.15222498e-07,-3.01249516e-01,-3.01249516e-01,
2.35000000e-08,9.00000000e+02,9.28715343e+04,1.03620103e-01,1.03620103e-07,1.00000000e-06,3.50536055e+06-1.15305513e-07,-1.15220735e-07,-2.81042727e-01,-2.81042727e-01,
2.80000000e-08,9.00000000e+02,9.27148142e+04,1.02382716e-01,1.02382716e-07,1.00000000e-06,3.54683910e+06-1.15305513e-07,-1.15219015e-07,-2.62281513e-01,-2.62281513e-01,
3.25000000e-08,9.00000000e+02,9.25686836e+04,1.01218788e-01,1.01218788e-07,1.00000000e-06,3.58669650e+06-1.15305513e-07,-1.15217785e-07,-2.49290771e-01,-2.49290771e-01,
3.70000000e-08,9.00000000e+02,9.24308162e+04,1.00121643e-01,1.00121643e-07,1.00000000e-06,3.62497004e+06-1.15305513e-07,-1.15216047e-07,-2.31511368e-01,-2.31511368e-01,
4.15000000e-08,9.00000000e+02,9.23000884e+04,9.90858788e-02,9.90858788e-08,1.00000000e-06,3.66171519e+06-1.15305513e-07,-1.15214951e-07,-2.20625812e-01,-2.20625812e-01,
4.60000000e-08,9.00000000e+02,9.21757673e+04,9.81068183e-02,9.81068183e-08,1.00000000e-06,3.69698965e+06-1.15305513e-07,-1.15213900e-07,-2.10431788e-01,-2.10431788e-01,
5.05000000e-08,9.00000000e+02,9.20572963e+04,9.71803139e-02,9.71803139e-08,1.00000000e-06,3.73085011e+06-1.15305513e-07,-1.15212617e-07,-1.98291070e-01,-1.98291070e-01,
5.50000000e-08,9.00000000e+02,9.19442020e+04,9.63026414e-02,9.63026414e-08,1.00000000e-06,3.76335050e+06-1.15305513e-07,-1.15211696e-07,-1.89791742e-01,-1.89791742e-01,
5.95000000e-08,9.00000000e+02,9.18360738e+04,9.54704395e-02,9.54704395e-08,1.00000000e-06,3.79454227e+06-1.15305513e-07,-1.15210520e-07,-1.79191624e-01,-1.79191623e-01,
6.40000000e-08,9.00000000e+02,9.17325491e+04,9.46806617e-02,9.46806617e-08,1.00000000e-06,3.82447449e+06-1.15305513e-07,-1.15209583e-07,-1.70957872e-01,-1.70957872e-01,
6.85000000e-08,9.00000000e+02,9.16333403e+04,9.39306350e-02,9.39306350e-08,1.00000000e-06,3.85319089e+06-1.15305513e-07,-1.15208413e-07,-1.60928096e-01,-1.60928096e-01,
7.30000000e-08,9.00000000e+02,9.15380649e+04,9.32176001e-02,9.32176001e-08,1.00000000e-06,3.88074311e+06-1.15305513e-07,-1.15207573e-07,-1.53912826e-01,-1.53912826e-01,
7.75000000e-08,9.00000000e+02,9.14465375e+04,9.25394075e-02,9.25394075e-08,1.00000000e-06,3.90716972e+06-1.15305513e-07,-1.15206450e-07,-1.44755511e-01,-1.44755511e-01,
8.20000000e-08,9.00000000e+02,9.13585246e+04,9.18939383e-02,9.18939383e-08,1.00000000e-06,3.93251183e+06-1.15305513e-07,-1.15205520e-07,-1.37374931e-01,-1.37374931e-01,
8.65000000e-08,9.00000000e+02,9.12737943e+04,9.12792131e-02,9.12792131e-08,1.00000000e-06,3.95680955e+06-1.15305513e-07,-1.15204628e-07,-1.30455538e-01,-1.30455538e-01,
9.10000000e-08,9.00000000e+02,9.11921556e+04,9.06934402e-02,9.06934402e-08,1.00000000e-06,3.98010083e+06-1.15305513e-07,-1.15203769e-07,-1.23959641e-01,-1.23959641e-01,
9.55000000e-08,9.00000000e+02,9.11134347e+04,9.01349640e-02,9.01349640e-08,1.00000000e-06,4.00242230e+06-1.15305513e-07,-1.15203352e-07,-1.20860115e-01,-1.20860115e-01,
