Species_name	Phase	Surf_cov	H	N	Ru
N2	Gas	0	0	2	0
NH3	Gas	0	3	1	0
H2	Gas	0	2	0	0
RU(B)	RefStateStoichSubstance	0	0	0	1
N2(T)	Surface	1.36886e-06	0	2	0
N(T)	Surface	0.847614	0	1	0
H(T)	Surface	0.0794931	1	0	0
NH3(T)	Surface	2.26666e-07	3	1	0
NH2(T)	Surface	1.03694e-06	2	1	0
NH(T)	Surface	0.0118576	1	1	0
RU(T)	Surface	0.0610323	0	0	1
N2(S)	Surface	3.20326e-07	0	2	0
N(S)	Surface	0.836174	0	1	0
H(S)	Surface	0.0887784	1	0	0
NH3(S)	Surface	5.89267e-06	3	1	0
NH2(S)	Surface	0.0024883	2	1	0
NH(S)	Surface	0.00439327	1	1	0
RU(S)	Surface	0.0681602	0	0	1
