t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
1.00000000e-08,2.37891967e-08,1.25150590e-01,5.34935321e-01,5.56977672e-08,2.25805728e-07,2.12745619e-03,3.37786328e-01,2.07153350e-09,2.21235745e-01,4.15554344e-02,1.40738024e-10,1.22999517e-06,5.02733724e-05,7.37157245e-01
1.45000000e-08,2.76325208e-08,1.60112749e-01,5.26168714e-01,8.65572649e-08,3.30109142e-07,2.90958452e-03,3.10808509e-01,4.28096489e-09,2.98398370e-01,5.33121578e-02,5.67610597e-10,3.53271176e-06,9.89409178e-05,6.48186924e-01
1.90000000e-08,3.22802135e-08,1.92266853e-01,5.09143793e-01,1.09829809e-07,4.12051400e-07,3.56184897e-03,2.95026952e-01,7.25919643e-09,3.65133976e-01,6.24481070e-02,1.58273804e-09,7.61211560e-06,1.60646990e-04,5.72249579e-01
2.35000000e-08,3.77453229e-08,2.22368889e-01,4.90922751e-01,1.29298928e-07,4.83079749e-07,4.14747064e-03,2.82560240e-01,1.10016903e-08,4.23105064e-01,6.96065022e-02,3.59634172e-09,1.39623327e-05,2.34191756e-04,5.07040196e-01
2.80000000e-08,4.40198932e-08,2.50708093e-01,4.73146494e-01,1.46833450e-07,5.48198325e-07,4.69116538e-03,2.71453509e-01,1.55112438e-08,4.73648799e-01,7.52528353e-02,7.17316209e-09,2.31209655e-05,3.18843224e-04,4.50756309e-01
3.25000000e-08,5.10803058e-08,2.77451858e-01,4.56174594e-01,1.63119235e-07,6.09262444e-07,5.20254497e-03,2.61170180e-01,2.07963418e-08,5.17855933e-01,7.97306224e-02,1.30721544e-08,3.56900823e-05,4.14197047e-04,4.01963454e-01
3.70000000e-08,5.88953577e-08,3.02728121e-01,4.40056027e-01,1.78410009e-07,6.66992714e-07,5.68589006e-03,2.51529059e-01,2.68693888e-08,5.56624961e-01,8.32963194e-02,2.23042965e-08,5.23543988e-05,5.20071535e-04,3.59506175e-01
4.15000000e-08,6.74351436e-08,3.26645762e-01,4.24760540e-01,1.92848530e-07,7.21811746e-07,6.14400102e-03,2.42448715e-01,3.37434130e-08,5.90701799e-01,8.61429290e-02,3.61703573e-08,7.38669897e-05,6.36388490e-04,3.22444876e-01
4.60000000e-08,7.66655153e-08,3.49302304e-01,4.10241230e-01,2.06420515e-07,7.73760583e-07,6.57812031e-03,2.33877290e-01,4.14336616e-08,6.20709587e-01,8.84162275e-02,5.64060960e-08,1.01120211e-04,7.63166339e-04,2.90009732e-01
5.05000000e-08,8.65579901e-08,3.70784609e-01,3.96447669e-01,2.19231051e-07,8.23140972e-07,6.99015616e-03,2.25776438e-01,4.99466910e-08,6.47171999e-01,9.02268114e-02,8.50287071e-08,1.34967896e-04,9.00314307e-04,2.61565703e-01
