t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
1.00000000e-08,-5.05834990e-07,2.18766366e-01,1.73644549e-02,1.36359191e-06,4.29330166e-04,-3.40585395e-03,-2.33155155e-01,-4.63230493e-07,9.66645684e-03,1.55396607e-03,6.56586599e-11,1.77257869e-07,4.17460343e-06,-1.12243116e-02
1.45000000e-08,1.65622504e-07,1.80409873e-01,-1.00685000e-01,7.04221654e-06,5.34952661e-03,8.46247796e-03,-9.35440848e-02,-4.23276724e-07,8.33951582e-03,1.20163711e-03,3.90917125e-10,3.95844174e-07,5.92468081e-06,-9.54705057e-03
1.90000000e-08,-1.14766675e-07,1.78328620e-01,-1.02132108e-01,4.47809482e-07,6.07082814e-05,2.25294310e-03,-7.85104966e-02,-8.21871833e-07,7.23127512e-03,9.38779932e-04,1.62780304e-10,5.48315955e-07,7.01302311e-06,-8.17679468e-03
2.35000000e-08,-1.13823927e-06,1.75222621e-01,-9.40514403e-02,-2.07859714e-07,-4.63402941e-04,-5.08873125e-03,-7.56177004e-02,-1.20323267e-05,6.32591067e-03,7.47814125e-04,3.38238826e-09,6.14945018e-07,-5.38590609e-07,-7.06177220e-03
2.80000000e-08,5.79000376e-07,1.53600924e-01,-1.02675386e-01,1.13221931e-07,1.25130540e-04,6.21531098e-03,-5.72666723e-02,2.11919915e-06,5.49177571e-03,5.84789268e-04,-2.71797627e-09,9.91241263e-07,9.68481306e-06,-6.08935751e-03
3.25000000e-08,9.05637210e-07,1.41213094e-01,-1.01860912e-01,4.38301694e-07,4.92491179e-04,9.35425320e-03,-4.92002704e-02,2.24013149e-05,4.74610114e-03,4.37397604e-04,1.62360930e-08,5.95844478e-06,2.95205205e-05,-5.24139526e-03
3.70000000e-08,2.90289925e-06,1.22044898e-01,-1.08687907e-01,7.90052665e-07,1.01507160e-03,1.97995864e-02,-3.41753416e-02,-2.94836864e-05,4.30112531e-03,3.96772252e-04,4.59559198e-09,-8.59794029e-06,7.67744300e-06,-4.66749798e-03
4.15000000e-08,-2.48240318e-06,1.55793322e-01,-6.01481720e-02,-1.07080604e-06,-1.75491598e-03,-1.87664985e-02,-7.51201819e-02,1.47564436e-04,3.31646562e-03,1.33585440e-04,1.40014080e-07,5.76728150e-05,6.59433142e-05,-3.72137164e-03
4.60000000e-08,-8.52372397e-07,1.23791759e-01,-8.32953796e-02,2.67635864e-07,6.08282997e-04,3.80013791e-03,-4.49042159e-02,-1.37361735e-04,3.56212907e-03,3.30376459e-04,-2.71144270e-07,-8.00791840e-05,8.88445137e-05,-3.76363798e-03
5.05000000e-08,3.09232653e-10,1.20141367e-01,-7.58088541e-02,4.18619607e-08,-6.05186759e-05,1.53174204e-03,-4.58037788e-02,-3.12481821e-06,2.82521817e-03,1.12757615e-04,-5.46489164e-08,6.42738595e-06,8.71194329e-05,-3.02834314e-03
5.50000000e-08,1.03083143e-07,1.13145348e-01,-7.30886007e-02,7.13789292e-08,9.51676154e-07,2.31715421e-03,-4.23750275e-02,-3.08728521e-06,2.50659764e-03,7.48776109e-05,-7.75087982e-09,2.45880856e-05,5.14803688e-05,-2.65444867e-03
5.95000000e-08,1.19628397e-07,1.07274597e-01,-6.98234534e-02,7.18208331e-08,1.33200475e-05,2.42497734e-03,-3.98896326e-02,-3.40835116e-05,2.12947505e-03,-1.67946805e-04,-7.15400907e-08,9.34115923e-05,1.26289305e-04,-2.14707409e-03
6.40000000e-08,6.89540674e-08,1.02372749e-01,-6.61396752e-02,5.86561536e-08,-1.05687351e-08,1.95375555e-03,-3.81869460e-02,1.14909478e-05,2.03756046e-03,1.70280574e-04,3.01719117e-07,-1.11460755e-05,-2.96808059e-05,-2.17880682e-03
6.85000000e-08,1.23220109e-07,9.74028945e-02,-6.30663690e-02,5.48001230e-08,7.77278575e-07,1.87024002e-03,-3.62077208e-02,1.15864985e-05,1.72957871e-03,5.18610336e-05,7.18631522e-09,8.86936681e-06,2.73508446e-05,-1.82925364e-03
7.30000000e-08,3.14820209e-07,9.27291809e-02,-6.01805488e-02,5.08129266e-08,1.75031280e-06,1.79521733e-03,-3.43459654e-02,5.50383183e-05,1.41673716e-03,3.50934858e-06,7.70514964e-08,1.66335092e-05,4.01445350e-05,-1.53213993e-03
7.75000000e-08,5.61698026e-07,8.83285171e-02,-5.74676062e-02,4.64648542e-08,2.94740224e-06,1.72844252e-03,-3.25929090e-02,1.52901387e-04,9.90831668e-04,-7.33738896e-05,1.35367312e-07,2.77356412e-05,7.64414359e-05,-1.17467161e-03
