z(m),Velocity(m/s),Density,Pressure(Pa)
0.000000e+00,1.000000e-01,3.930690e-01,1.013250e+05
1.000000e-06,1.000018e-01,3.930620e-01,1.013250e+05
1.450000e-06,1.000024e-01,3.930595e-01,1.013250e+05
1.900000e-06,1.000030e-01,3.930573e-01,1.013250e+05
2.350000e-06,1.000035e-01,3.930553e-01,1.013250e+05
2.800000e-06,1.000040e-01,3.930534e-01,1.013250e+05
3.250000e-06,1.000044e-01,3.930516e-01,1.013250e+05
3.700000e-06,1.000049e-01,3.930499e-01,1.013250e+05
4.150000e-06,1.000053e-01,3.930482e-01,1.013250e+05
4.600000e-06,1.000057e-01,3.930466e-01,1.013250e+05
5.050000e-06,1.000061e-01,3.930451e-01,1.013250e+05
5.500000e-06,1.000064e-01,3.930437e-01,1.013250e+05
5.950000e-06,1.000068e-01,3.930423e-01,1.013250e+05
6.400000e-06,1.000071e-01,3.930409e-01,1.013250e+05
6.850000e-06,1.000075e-01,3.930396e-01,1.013250e+05
7.300000e-06,1.000078e-01,3.930383e-01,1.013250e+05
7.750000e-06,1.000081e-01,3.930370e-01,1.013250e+05
8.200000e-06,1.000084e-01,3.930358e-01,1.013250e+05
8.650000e-06,1.000087e-01,3.930346e-01,1.013250e+05
9.100000e-06,1.000090e-01,3.930334e-01,1.013250e+05
9.550000e-06,1.000093e-01,3.930323e-01,1.013250e+05
1.000000e-05,1.000096e-01,3.930311e-01,1.013250e+05
1.450000e-05,1.000122e-01,3.930210e-01,1.013250e+05
1.900000e-05,1.000144e-01,3.930123e-01,1.013250e+05
2.350000e-05,1.000164e-01,3.930045e-01,1.013250e+05
2.800000e-05,1.000182e-01,3.929975e-01,1.013250e+05
3.250000e-05,1.000198e-01,3.929910e-01,1.013250e+05
3.700000e-05,1.000214e-01,3.929850e-01,1.013250e+05
4.150000e-05,1.000228e-01,3.929793e-01,1.013250e+05
4.600000e-05,1.000242e-01,3.929740e-01,1.013250e+05
5.050000e-05,1.000254e-01,3.929690e-01,1.013250e+05
5.500000e-05,1.000267e-01,3.929641e-01,1.013250e+05
5.950000e-05,1.000278e-01,3.929595e-01,1.013250e+05
6.400000e-05,1.000290e-01,3.929551e-01,1.013250e+05
6.850000e-05,1.000301e-01,3.929508e-01,1.013250e+05
7.300000e-05,1.000311e-01,3.929467e-01,1.013250e+05
7.750000e-05,1.000321e-01,3.929428e-01,1.013250e+05
8.200000e-05,1.000331e-01,3.929389e-01,1.013250e+05
8.650000e-05,1.000341e-01,3.929352e-01,1.013250e+05
9.100000e-05,1.000350e-01,3.929315e-01,1.013250e+05
9.550000e-05,1.000359e-01,3.929280e-01,1.013250e+05
1.000000e-04,1.000368e-01,3.929245e-01,1.013250e+05
1.450000e-04,1.000446e-01,3.928939e-01,1.013250e+05
1.900000e-04,1.000511e-01,3.928681e-01,1.013250e+05
2.350000e-04,1.000569e-01,3.928453e-01,1.013250e+05
2.800000e-04,1.000622e-01,3.928247e-01,1.013250e+05
3.250000e-04,1.000670e-01,3.928058e-01,1.013250e+05
3.700000e-04,1.000715e-01,3.927880e-01,1.013250e+05
4.150000e-04,1.000758e-01,3.927713e-01,1.013250e+05
4.600000e-04,1.000798e-01,3.927554e-01,1.013250e+05
5.050000e-04,1.000837e-01,3.927401e-01,1.013250e+05
5.500000e-04,1.000875e-01,3.927255e-01,1.013250e+05
5.950000e-04,1.000911e-01,3.927112e-01,1.013250e+05
6.400000e-04,1.000946e-01,3.926974e-01,1.013250e+05
6.850000e-04,1.000980e-01,3.926840e-01,1.013250e+05
7.300000e-04,1.001014e-01,3.926708e-01,1.013250e+05
7.750000e-04,1.001047e-01,3.926579e-01,1.013250e+05
8.200000e-04,1.001079e-01,3.926452e-01,1.013250e+05
8.650000e-04,1.001111e-01,3.926328e-01,1.013250e+05
9.100000e-04,1.001142e-01,3.926205e-01,1.013250e+05
9.550000e-04,1.001173e-01,3.926084e-01,1.013250e+05
1.000000e-03,1.001204e-01,3.925964e-01,1.013250e+05
1.000000e-03,1.001204e-01,3.925964e-01,1.013250e+05
