Species_name	Phase	Surf_cov	H	C	O	N	Pt
CH2CH2	Gas	0	4	2	0	0	0
CH3CH3	Gas	0	6	2	0	0	0
CH4	Gas	0	4	1	0	0	0
CHCH	Gas	0	2	2	0	0	0
H2	Gas	0	2	0	0	0	0
N2	Gas	0	0	0	0	2	0
PT(B)	Bulk	0	0	0	0	0	1
CH2CH3(S)	Surface	3.47228e-08	5	2	0	0	0
CH3(S)	Surface	2.00858e-09	3	1	0	0	0
H(S)	Surface	0.000631128	1	0	0	0	0
CH2(S)	Surface	7.39377e-07	2	1	0	0	0
CHCH3(S)	Surface	3.16591e-09	4	2	0	0	0
CH2CH2(S)	Surface	3.89205e-08	4	2	0	0	0
CH(S)	Surface	0.647048	1	1	0	0	0
CCH3(S)	Surface	0.0593207	3	2	0	0	0
CHCH2(S)	Surface	1.87716e-06	3	2	0	0	0
C(S)	Surface	0.22606	0	1	0	0	0
CCH2(S)	Surface	0.0350326	2	2	0	0	0
CHCH(S)	Surface	0.00129614	2	2	0	0	0
CCH(S)	Surface	5.83269e-05	1	2	0	0	0
CC(S)	Surface	2.2581e-06	0	2	0	0	0
CH4(S)	Surface	2.24651e-09	4	1	0	0	0
PT(S)	Surface	0.030548	0	0	0	0	1
