z(m),Velocity(m/s),Density,Pressure(Pa)
0.000000e+00,1.000000e-01,3.930690e-01,1.013250e+05
1.000000e-06,1.000270e-01,3.929630e-01,1.013250e+05
1.450000e-06,1.000389e-01,3.929159e-01,1.013250e+05
1.900000e-06,1.000509e-01,3.928690e-01,1.013250e+05
2.350000e-06,1.000628e-01,3.928222e-01,1.013250e+05
2.800000e-06,1.000747e-01,3.927755e-01,1.013250e+05
3.250000e-06,1.000866e-01,3.927287e-01,1.013250e+05
3.700000e-06,1.000985e-01,3.926821e-01,1.013250e+05
4.150000e-06,1.001104e-01,3.926354e-01,1.013250e+05
4.600000e-06,1.001223e-01,3.925887e-01,1.013250e+05
5.050000e-06,1.001342e-01,3.925421e-01,1.013250e+05
5.500000e-06,1.001461e-01,3.924954e-01,1.013250e+05
5.950000e-06,1.001581e-01,3.924487e-01,1.013250e+05
6.400000e-06,1.001700e-01,3.924020e-01,1.013250e+05
6.850000e-06,1.001819e-01,3.923553e-01,1.013250e+05
7.300000e-06,1.001938e-01,3.923085e-01,1.013250e+05
7.750000e-06,1.002058e-01,3.922617e-01,1.013250e+05
8.200000e-06,1.002177e-01,3.922150e-01,1.013250e+05
8.650000e-06,1.002297e-01,3.921681e-01,1.013250e+05
9.100000e-06,1.002417e-01,3.921213e-01,1.013250e+05
9.550000e-06,1.002537e-01,3.920744e-01,1.013250e+05
1.000000e-05,1.002657e-01,3.920275e-01,1.013250e+05
1.450000e-05,1.003863e-01,3.915566e-01,1.013250e+05
1.900000e-05,1.005080e-01,3.910823e-01,1.013250e+05
2.350000e-05,1.006309e-01,3.906048e-01,1.013250e+05
2.800000e-05,1.007548e-01,3.901243e-01,1.013250e+05
3.250000e-05,1.008797e-01,3.896413e-01,1.013250e+05
3.700000e-05,1.010055e-01,3.891561e-01,1.013250e+05
4.150000e-05,1.011320e-01,3.886692e-01,1.013250e+05
4.600000e-05,1.012592e-01,3.881810e-01,1.013250e+05
5.050000e-05,1.013869e-01,3.876920e-01,1.013250e+05
5.500000e-05,1.015151e-01,3.872026e-01,1.013250e+05
5.950000e-05,1.016436e-01,3.867131e-01,1.013250e+05
6.400000e-05,1.017723e-01,3.862241e-01,1.013250e+05
6.850000e-05,1.019011e-01,3.857358e-01,1.013250e+05
7.300000e-05,1.020299e-01,3.852488e-01,1.013250e+05
7.750000e-05,1.021587e-01,3.847633e-01,1.013250e+05
8.200000e-05,1.022872e-01,3.842797e-01,1.013250e+05
8.650000e-05,1.024155e-01,3.837983e-01,1.013250e+05
9.100000e-05,1.025434e-01,3.833195e-01,1.013250e+05
9.550000e-05,1.026709e-01,3.828436e-01,1.013250e+05
1.000000e-04,1.027979e-01,3.823708e-01,1.013250e+05
1.450000e-04,1.040225e-01,3.778692e-01,1.013250e+05
1.900000e-04,1.051332e-01,3.738770e-01,1.013250e+05
2.350000e-04,1.061181e-01,3.704070e-01,1.013250e+05
2.800000e-04,1.069992e-01,3.673569e-01,1.013250e+05
3.250000e-04,1.077998e-01,3.646288e-01,1.013250e+05
3.700000e-04,1.085103e-01,3.622413e-01,1.013250e+05
4.150000e-04,1.090982e-01,3.602890e-01,1.013250e+05
4.600000e-04,1.095599e-01,3.587707e-01,1.013250e+05
5.050000e-04,1.099406e-01,3.575284e-01,1.013250e+05
5.500000e-04,1.102911e-01,3.563922e-01,1.013250e+05
5.950000e-04,1.106201e-01,3.553323e-01,1.013250e+05
6.400000e-04,1.109014e-01,3.544310e-01,1.013250e+05
6.850000e-04,1.111182e-01,3.537395e-01,1.013250e+05
7.300000e-04,1.112815e-01,3.532204e-01,1.013250e+05
7.750000e-04,1.114091e-01,3.528160e-01,1.013250e+05
8.200000e-04,1.115076e-01,3.525042e-01,1.013250e+05
8.650000e-04,1.115822e-01,3.522685e-01,1.013250e+05
9.100000e-04,1.116555e-01,3.520372e-01,1.013250e+05
9.550000e-04,1.117789e-01,3.516485e-01,1.013250e+05
1.000000e-03,1.120348e-01,3.508455e-01,1.013250e+05
1.000000e-03,1.120348e-01,3.508455e-01,1.013250e+05
