z(m),CH2CH3(S),CH3(S),H(S),CH2(S),CHCH3(S),CH2CH2(S),CH(S),CCH3(S),CHCH2(S),C(S),CCH2(S),CHCH(S),CCH(S),CC(S),CH4(S),PT(S)
0.000000e+00,2.394264e-07,3.901079e-10,3.357317e-04,2.440973e-08,2.628500e-11,1.331599e-09,1.960118e-01,3.953469e-03,1.196813e-07,6.292844e-01,2.115487e-02,2.278296e-05,1.006912e-05,3.582102e-06,4.186896e-13,1.492229e-01
1.000000e-06,1.839873e-07,3.403291e-10,3.949518e-04,5.104368e-08,3.912382e-11,3.150644e-09,2.737948e-01,4.199139e-03,1.287325e-07,5.889261e-01,1.511009e-02,5.944180e-05,1.677758e-05,3.999544e-06,1.743176e-12,1.174943e-01
1.450000e-06,1.737225e-07,3.431579e-10,4.099038e-04,5.959223e-08,4.384467e-11,3.719679e-09,2.924799e-01,4.351350e-03,1.339117e-07,5.766046e-01,1.436110e-02,7.171851e-05,1.848814e-05,4.039694e-06,2.294769e-12,1.116985e-01
1.900000e-06,1.660003e-07,3.488767e-10,4.217806e-04,6.712637e-08,4.828485e-11,4.211418e-09,3.073807e-01,4.503606e-03,1.390574e-07,5.663373e-01,1.389833e-02,8.270970e-05,1.988924e-05,4.061788e-06,2.844784e-12,1.073512e-01
2.350000e-06,1.598239e-07,3.559263e-10,4.315618e-04,7.392222e-08,5.252872e-11,4.646692e-09,3.197759e-01,4.653428e-03,1.441070e-07,5.575455e-01,1.359490e-02,9.275628e-05,2.108501e-05,4.075082e-06,3.397720e-12,1.038805e-01
2.800000e-06,1.546865e-07,3.636111e-10,4.398237e-04,8.014784e-08,5.662533e-11,5.038409e-09,3.303805e-01,4.800000e-03,1.490430e-07,5.498644e-01,1.338980e-02,1.020667e-04,2.213365e-05,4.083661e-06,3.955801e-12,1.009968e-01
3.250000e-06,1.502958e-07,3.715826e-10,4.469359e-04,8.591512e-08,6.060594e-11,5.395255e-09,3.396378e-01,4.943099e-03,1.538631e-07,5.430499e-01,1.324975e-02,1.107802e-04,2.307119e-05,4.089561e-06,4.520203e-12,9.853415e-02
3.700000e-06,1.464679e-07,3.796530e-10,4.531501e-04,9.130329e-08,6.449180e-11,5.723413e-09,3.478426e-01,5.082737e-03,1.585707e-07,5.369310e-01,1.315488e-02,1.189954e-04,2.392157e-05,4.093885e-06,5.091569e-12,9.638820e-02
4.150000e-06,1.430794e-07,3.877161e-10,4.586454e-04,9.637104e-08,6.829813e-11,6.027479e-09,3.552017e-01,5.219024e-03,1.631713e-07,5.313828e-01,1.309257e-02,1.267855e-04,2.470155e-05,4.097269e-06,5.670243e-12,9.448932e-02
4.600000e-06,1.400437e-07,3.957108e-10,4.635538e-04,1.011633e-07,7.203621e-11,6.310976e-09,3.618658e-01,5.352103e-03,1.676710e-07,5.263114e-01,1.305440e-02,1.342069e-04,2.542337e-05,4.100092e-06,6.256400e-12,9.278863e-02
5.050000e-06,1.372975e-07,4.036013e-10,4.679752e-04,1.057155e-07,7.571467e-11,6.576679e-09,3.679484e-01,5.482130e-03,1.720756e-07,5.216445e-01,1.303453e-02,1.413039e-04,2.609625e-05,4.102594e-06,6.850113e-12,9.125050e-02
5.500000e-06,1.347931e-07,4.113674e-10,4.719871e-04,1.100561e-07,7.934028e-11,6.826816e-09,3.735373e-01,5.609259e-03,1.763907e-07,5.173252e-01,1.302878e-02,1.481124e-04,2.672730e-05,4.104924e-06,7.451395e-12,8.984815e-02
5.950000e-06,1.324937e-07,4.189982e-10,4.756508e-04,1.142084e-07,8.291848e-11,7.063208e-09,3.787015e-01,5.733636e-03,1.806217e-07,5.133077e-01,1.303407e-02,1.546617e-04,2.732218e-05,4.107182e-06,8.060217e-12,8.856093e-02
6.400000e-06,1.303704e-07,4.264887e-10,4.790153e-04,1.181919e-07,8.645369e-11,7.287367e-09,3.834967e-01,5.855400e-03,1.847731e-07,5.095547e-01,1.304811e-02,1.609765e-04,2.788540e-05,4.109431e-06,8.676533e-12,8.737257e-02
6.850000e-06,1.283998e-07,4.338376e-10,4.821206e-04,1.220228e-07,8.994959e-11,7.500562e-09,3.879683e-01,5.974677e-03,1.888495e-07,5.060357e-01,1.306914e-02,1.670774e-04,2.842069e-05,4.111713e-06,9.300279e-12,8.627004e-02
7.300000e-06,1.265629e-07,4.410461e-10,4.849996e-04,1.257152e-07,9.340927e-11,7.703871e-09,3.921536e-01,6.091587e-03,1.928548e-07,5.027249e-01,1.309579e-02,1.729823e-04,2.893112e-05,4.114057e-06,9.931388e-12,8.524271e-02
7.750000e-06,1.248442e-07,4.481168e-10,4.876799e-04,1.292810e-07,9.683535e-11,7.898218e-09,3.960840e-01,6.206237e-03,1.967927e-07,4.996006e-01,1.312699e-02,1.787066e-04,2.941927e-05,4.116481e-06,1.056979e-11,8.428181e-02
8.200000e-06,1.232306e-07,4.550531e-10,4.901844e-04,1.327306e-07,1.002301e-10,8.084400e-09,3.997860e-01,6.318729e-03,2.006665e-07,4.966444e-01,1.316188e-02,1.842634e-04,2.988732e-05,4.118995e-06,1.121541e-11,8.338003e-02
