z(m),CH2CH2,CH3CH3,CH4,CHCH,H2,N2
1.000000e-06,1.641520e-05,6.998162e-02,4.386826e-09,7.148002e-07,1.784261e-05,9.299834e-01
1.450000e-06,2.209368e-05,6.997524e-02,6.479926e-09,9.823285e-07,2.405510e-05,9.299776e-01
1.900000e-06,2.725045e-05,6.996943e-02,8.673623e-09,1.234664e-06,2.971544e-05,9.299724e-01
2.350000e-06,3.202007e-05,6.996405e-02,1.096952e-08,1.476091e-06,3.496677e-05,9.299675e-01
2.800000e-06,3.648534e-05,6.995901e-02,1.336659e-08,1.709155e-06,3.989697e-05,9.299629e-01
3.250000e-06,4.070202e-05,6.995423e-02,1.586278e-08,1.935516e-06,4.456512e-05,9.299585e-01
3.700000e-06,4.471004e-05,6.994969e-02,1.845570e-08,2.156333e-06,4.901348e-05,9.299544e-01
4.150000e-06,4.853933e-05,6.994535e-02,2.114287e-08,2.372457e-06,5.327367e-05,9.299504e-01
4.600000e-06,5.221304e-05,6.994117e-02,2.392187e-08,2.584531e-06,5.737014e-05,9.299466e-01
5.050000e-06,5.574963e-05,6.993715e-02,2.679035e-08,2.793060e-06,6.132235e-05,9.299430e-01
5.500000e-06,5.916407e-05,6.993326e-02,2.974612e-08,2.998447e-06,6.514609e-05,9.299394e-01
5.950000e-06,6.246877e-05,6.992949e-02,3.278712e-08,3.201025e-06,6.885443e-05,9.299360e-01
6.400000e-06,6.567415e-05,6.992583e-02,3.591141e-08,3.401066e-06,7.245833e-05,9.299326e-01
6.850000e-06,6.878906e-05,6.992227e-02,3.911717e-08,3.598803e-06,7.596711e-05,9.299293e-01
7.300000e-06,7.182111e-05,6.991880e-02,4.240273e-08,3.794433e-06,7.938877e-05,9.299261e-01
7.750000e-06,7.477691e-05,6.991542e-02,4.576651e-08,3.988126e-06,8.273028e-05,9.299230e-01
8.200000e-06,7.766223e-05,6.991211e-02,4.920703e-08,4.180031e-06,8.599769e-05,9.299200e-01
8.650000e-06,8.048217e-05,6.990888e-02,5.272292e-08,4.370279e-06,8.919636e-05,9.299170e-01
9.100000e-06,8.324124e-05,6.990571e-02,5.631288e-08,4.558984e-06,9.233105e-05,9.299141e-01
9.550000e-06,8.594347e-05,6.990260e-02,5.997572e-08,4.746250e-06,9.540599e-05,9.299112e-01
1.000000e-05,8.859249e-05,6.989955e-02,6.371029e-08,4.932169e-06,9.842497e-05,9.299084e-01
1.450000e-05,1.127461e-04,6.987163e-02,1.047959e-07,6.732323e-06,1.261583e-04,9.298826e-01
1.900000e-05,1.338743e-04,6.984704e-02,1.521998e-07,8.456806e-06,1.507118e-04,9.298598e-01
2.350000e-05,1.530163e-04,6.982462e-02,2.054682e-07,1.013344e-05,1.731805e-04,9.298388e-01
2.800000e-05,1.707557e-04,6.980373e-02,2.643399e-07,1.177889e-05,1.941813e-04,9.298193e-01
3.250000e-05,1.874589e-04,6.978397e-02,3.286720e-07,1.340441e-05,2.141034e-04,9.298007e-01
3.700000e-05,2.033737e-04,6.976507e-02,3.984001e-07,1.501822e-05,2.332109e-04,9.297829e-01
4.150000e-05,2.186766e-04,6.974682e-02,4.735155e-07,1.662670e-05,2.516932e-04,9.297657e-01
4.600000e-05,2.334987e-04,6.972909e-02,5.540505e-07,1.823496e-05,2.696916e-04,9.297489e-01
5.050000e-05,2.479404e-04,6.971176e-02,6.400695e-07,1.984723e-05,2.873148e-04,9.297325e-01
5.500000e-05,2.620803e-04,6.969474e-02,7.316616e-07,2.146712e-05,3.046487e-04,9.297163e-01
5.950000e-05,2.759814e-04,6.967795e-02,8.289371e-07,2.309775e-05,3.217625e-04,9.297004e-01
6.400000e-05,2.896953e-04,6.966135e-02,9.320231e-07,2.474185e-05,3.387130e-04,9.296846e-01
6.850000e-05,3.032643e-04,6.964489e-02,1.041061e-06,2.640187e-05,3.555475e-04,9.296689e-01
7.300000e-05,3.167239e-04,6.962852e-02,1.156207e-06,2.808001e-05,3.723058e-04,9.296532e-01
7.750000e-05,3.301041e-04,6.961220e-02,1.277625e-06,2.977823e-05,3.890218e-04,9.296376e-01
8.200000e-05,3.434305e-04,6.959592e-02,1.405490e-06,3.149835e-05,4.057244e-04,9.296220e-01
8.650000e-05,3.567248e-04,6.957964e-02,1.539988e-06,3.324202e-05,4.224389e-04,9.296064e-01
9.100000e-05,3.700060e-04,6.956334e-02,1.681309e-06,3.501076e-05,4.391868e-04,9.295908e-01
9.550000e-05,3.832902e-04,6.954701e-02,1.829652e-06,3.680594e-05,4.559873e-04,9.295751e-01
1.000000e-04,3.965917e-04,6.953062e-02,1.985222e-06,3.862887e-05,4.728568e-04,9.295593e-01
1.450000e-04,5.326009e-04,6.936132e-02,3.986703e-06,5.859906e-05,6.478057e-04,9.293957e-01
1.900000e-04,6.771360e-04,6.917835e-02,6.962280e-06,8.213727e-05,8.379294e-04,9.292175e-01
2.350000e-04,8.310704e-04,6.898045e-02,1.115189e-05,1.094074e-04,1.044309e-03,9.290236e-01
2.800000e-04,9.937619e-04,6.876831e-02,1.679840e-05,1.403178e-04,1.265998e-03,9.288148e-01
3.250000e-04,1.164667e-03,6.854250e-02,2.415582e-05,1.747656e-04,1.502121e-03,9.285918e-01
3.700000e-04,1.342857e-03,6.830415e-02,3.347230e-05,2.125090e-04,1.751139e-03,9.283559e-01
4.150000e-04,1.525775e-03,6.805682e-02,4.491790e-05,2.527538e-04,2.008824e-03,9.281109e-01
4.600000e-04,1.709739e-03,6.780597e-02,5.853008e-05,2.941625e-04,2.268799e-03,9.278628e-01
5.050000e-04,1.892262e-03,6.755557e-02,7.427667e-05,3.355932e-04,2.526310e-03,9.276160e-01
5.500000e-04,2.073217e-03,6.730614e-02,9.217419e-05,3.766920e-04,2.780514e-03,9.273713e-01
5.950000e-04,2.253460e-03,6.705663e-02,1.122977e-04,4.175600e-04,3.032431e-03,9.271276e-01
