Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
4.380554e-07    1.145616e-07    3.234938e-07    7.926926e-01    CH3CH3 + 2 PT(S) <=> CH2CH3(S) + H(S) + 2 PT(B)
2.832828e-04    2.835333e-04    -2.504940e-07   4.997790e-01    CH2CH2 + PT(S) <=> CH2CH2(S) + PT(B)
5.547795e-05    5.552156e-05    -4.361098e-08   4.998036e-01    CHCH + PT(S) <=> CHCH(S) + PT(B)
3.770731e-05    3.776608e-05    -5.877754e-08   4.996106e-01    CH4 + PT(S) <=> CH4(S) + PT(B)
7.877729e-05    7.908562e-05    -3.083272e-07   4.990234e-01    H2 + 2 PT(S) <=> 2 H(S) + 2 PT(B)
1.225480e-04    1.225480e-04    -4.504644e-12   5.000000e-01    CC(S) + PT(S) <=> 2 C(S) + PT(B)
1.258442e-03    1.258442e-03    3.765501e-10    5.000001e-01    CCH(S) + PT(S) <=> C(S) + CH(S) + PT(B)
5.819176e-08    5.819626e-08    -4.504644e-12   4.999806e-01    CCH(S) + PT(S) <=> CC(S) + H(S) + PT(B)
1.696151e-07    1.629472e-07    6.667861e-09    5.100250e-01    CCH2(S) + PT(S) <=> C(S) + CH2(S) + PT(B)
9.465446e-09    9.093555e-09    3.718910e-10    5.100192e-01    CCH2(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
1.739059e-08    3.650554e-10    1.702553e-08    9.794400e-01    CCH3(S) + PT(S) <=> C(S) + CH3(S) + PT(B)
9.650769e-05    9.650817e-05    -4.804771e-10   4.999988e-01    CCH3(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
3.094799e-04    3.095040e-04    -2.406094e-08   4.999806e-01    CH(S) + PT(S) <=> C(S) + H(S) + PT(B)
1.502760e-03    1.502795e-03    -3.456777e-08   4.999942e-01    CH2(S) + PT(S) <=> CH(S) + H(S) + PT(B)
9.591216e-13    6.928419e-13    2.662797e-13    5.805949e-01    CH2CH2(S) + PT(S) <=> 2 CH2(S) + PT(B)
2.272103e-07    1.709162e-07    5.629405e-08    5.706987e-01    CH2CH2(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
7.381559e-12    4.112252e-16    7.381147e-12    9.999443e-01    CH2CH3(S) + PT(S) <=> CH2(S) + CH3(S) + PT(B)
3.078750e-07    1.086640e-09    3.067884e-07    9.964829e-01    CH2CH3(S) + PT(S) <=> CH2CH2(S) + H(S) + PT(B)
1.674251e-08    4.445078e-11    1.669806e-08    9.973521e-01    CH2CH3(S) + PT(S) <=> CHCH3(S) + H(S) + PT(B)
3.465243e-08    9.342997e-08    -5.877754e-08   2.705479e-01    CH4(S) + PT(S) <=> CH3(S) + H(S) + PT(B)
9.290887e-10    4.252040e-08    -4.159131e-08   2.138319e-02    CH3(S) + PT(S) <=> CH2(S) + H(S) + PT(B)
9.513107e-09    9.512953e-09    1.544227e-13    5.000041e-01    CHCH(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
5.107205e-05    5.106724e-05    4.814606e-09    5.000236e-01    CHCH(S) + PT(S) <=> 2 CH(S) + PT(B)
2.444610e-05    2.443858e-05    7.520229e-09    5.000769e-01    CHCH2(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
8.763816e-09    8.416051e-09    3.477650e-10    5.101213e-01    CHCH2(S) + PT(S) <=> CH(S) + CH2(S) + PT(B)
1.223822e-06    1.175396e-06    4.842574e-08    5.100920e-01    CHCH2(S) + PT(S) <=> CHCH(S) + H(S) + PT(B)
5.615503e-05    5.613849e-05    1.654506e-08    5.000737e-01    CHCH3(S) + PT(S) <=> CCH3(S) + H(S) + PT(B)
1.565976e-10    3.286001e-12    1.533116e-10    9.794475e-01    CHCH3(S) + PT(S) <=> CH(S) + CH3(S) + PT(B)
1.736336e-08    1.736368e-08    -3.121195e-13   4.999955e-01    CHCH3(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
