Species_name	Phase	Surf_cov	H	C	O	N	Pt
CH2CH2	Gas	0	4	2	0	0	0
CH3CH3	Gas	0	6	2	0	0	0
CH4	Gas	0	4	1	0	0	0
CHCH	Gas	0	2	2	0	0	0
H2	Gas	0	2	0	0	0	0
N2	Gas	0	0	0	0	2	0
PT(B)	Bulk	0	0	0	0	0	1
CH2CH3(S)	Surface	4.38854e-08	5	2	0	0	0
CH3(S)	Surface	7.0163e-09	3	1	0	0	0
H(S)	Surface	0.00120359	1	0	0	0	0
CH2(S)	Surface	1.81003e-06	2	1	0	0	0
CHCH3(S)	Surface	6.42997e-09	4	2	0	0	0
CH2CH2(S)	Surface	7.41499e-08	4	2	0	0	0
CH(S)	Surface	0.551395	1	1	0	0	0
CCH3(S)	Surface	0.0321852	3	2	0	0	0
CHCH2(S)	Surface	2.5287e-06	3	2	0	0	0
C(S)	Surface	0.330441	0	1	0	0	0
CCH2(S)	Surface	0.0270492	2	2	0	0	0
CHCH(S)	Surface	0.00136096	2	2	0	0	0
CCH(S)	Surface	0.000172111	1	2	0	0	0
CC(S)	Surface	1.20998e-05	0	2	0	0	0
CH4(S)	Surface	6.59135e-08	4	1	0	0	0
PT(S)	Surface	0.0561763	0	0	0	0	1
