z(m),Velocity(m/s),Density,Pressure(Pa)
0.000000e+00,1.000000e-01,3.930690e-01,1.013250e+05
1.000000e-06,1.000476e-01,3.928821e-01,1.013250e+05
1.450000e-06,1.000688e-01,3.927989e-01,1.013250e+05
1.900000e-06,1.000899e-01,3.927160e-01,1.013250e+05
2.350000e-06,1.001109e-01,3.926334e-01,1.013250e+05
2.800000e-06,1.001319e-01,3.925510e-01,1.013250e+05
3.250000e-06,1.001529e-01,3.924688e-01,1.013250e+05
3.700000e-06,1.001738e-01,3.923868e-01,1.013250e+05
4.150000e-06,1.001947e-01,3.923050e-01,1.013250e+05
4.600000e-06,1.002156e-01,3.922233e-01,1.013250e+05
5.050000e-06,1.002364e-01,3.921419e-01,1.013250e+05
5.500000e-06,1.002572e-01,3.920605e-01,1.013250e+05
5.950000e-06,1.002780e-01,3.919793e-01,1.013250e+05
6.400000e-06,1.002987e-01,3.918983e-01,1.013250e+05
6.850000e-06,1.003194e-01,3.918174e-01,1.013250e+05
7.300000e-06,1.003401e-01,3.917366e-01,1.013250e+05
7.750000e-06,1.003608e-01,3.916560e-01,1.013250e+05
8.200000e-06,1.003814e-01,3.915755e-01,1.013250e+05
8.650000e-06,1.004020e-01,3.914951e-01,1.013250e+05
9.100000e-06,1.004226e-01,3.914149e-01,1.013250e+05
9.550000e-06,1.004431e-01,3.913348e-01,1.013250e+05
1.000000e-05,1.004637e-01,3.912548e-01,1.013250e+05
1.450000e-05,1.006678e-01,3.904615e-01,1.013250e+05
1.900000e-05,1.008698e-01,3.896797e-01,1.013250e+05
2.350000e-05,1.010697e-01,3.889088e-01,1.013250e+05
2.800000e-05,1.012677e-01,3.881485e-01,1.013250e+05
3.250000e-05,1.014637e-01,3.873985e-01,1.013250e+05
3.700000e-05,1.016579e-01,3.866587e-01,1.013250e+05
4.150000e-05,1.018501e-01,3.859288e-01,1.013250e+05
4.600000e-05,1.020405e-01,3.852088e-01,1.013250e+05
5.050000e-05,1.022290e-01,3.844985e-01,1.013250e+05
5.500000e-05,1.024157e-01,3.837977e-01,1.013250e+05
5.950000e-05,1.026005e-01,3.831064e-01,1.013250e+05
6.400000e-05,1.027834e-01,3.824245e-01,1.013250e+05
6.850000e-05,1.029645e-01,3.817518e-01,1.013250e+05
7.300000e-05,1.031438e-01,3.810882e-01,1.013250e+05
7.750000e-05,1.033213e-01,3.804337e-01,1.013250e+05
8.200000e-05,1.034969e-01,3.797882e-01,1.013250e+05
8.650000e-05,1.036707e-01,3.791515e-01,1.013250e+05
9.100000e-05,1.038426e-01,3.785237e-01,1.013250e+05
9.550000e-05,1.040128e-01,3.779045e-01,1.013250e+05
1.000000e-04,1.041811e-01,3.772940e-01,1.013250e+05
1.450000e-04,1.057642e-01,3.716466e-01,1.013250e+05
1.900000e-04,1.071657e-01,3.667860e-01,1.013250e+05
2.350000e-04,1.083858e-01,3.626572e-01,1.013250e+05
2.800000e-04,1.094239e-01,3.592169e-01,1.013250e+05
3.250000e-04,1.102789e-01,3.564316e-01,1.013250e+05
3.700000e-04,1.109498e-01,3.542763e-01,1.013250e+05
4.150000e-04,1.114351e-01,3.527336e-01,1.013250e+05
4.600000e-04,1.117332e-01,3.517926e-01,1.013250e+05
5.050000e-04,1.118426e-01,3.514484e-01,1.013250e+05
5.500000e-04,1.117621e-01,3.517015e-01,1.013250e+05
5.950000e-04,1.114906e-01,3.525579e-01,1.013250e+05
6.400000e-04,1.110275e-01,3.540286e-01,1.013250e+05
6.850000e-04,1.103724e-01,3.561298e-01,1.013250e+05
7.300000e-04,1.095254e-01,3.588837e-01,1.013250e+05
7.750000e-04,1.084871e-01,3.623185e-01,1.013250e+05
8.200000e-04,1.072582e-01,3.664698e-01,1.013250e+05
8.650000e-04,1.058397e-01,3.713814e-01,1.013250e+05
9.100000e-04,1.042326e-01,3.771074e-01,1.013250e+05
9.550000e-04,1.024381e-01,3.837137e-01,1.013250e+05
1.000000e-03,1.004570e-01,3.912808e-01,1.013250e+05
1.000000e-03,1.004570e-01,3.912808e-01,1.013250e+05
