z(m),CH2CH2,CH3CH3,CH4,CHCH,H2,N2
1.000000e-06,1.638259e-05,7.473506e-02,2.505272e-09,6.623341e-07,1.279682e-06,9.252466e-01
1.450000e-06,2.206767e-05,7.472868e-02,3.704866e-09,9.111043e-07,1.726666e-06,9.252466e-01
1.900000e-06,2.724059e-05,7.472286e-02,4.964923e-09,1.146262e-06,2.134734e-06,9.252466e-01
2.350000e-06,3.203469e-05,7.471746e-02,6.286625e-09,1.371752e-06,2.514080e-06,9.252466e-01
2.800000e-06,3.653193e-05,7.471239e-02,7.669636e-09,1.589914e-06,2.870953e-06,9.252466e-01
3.250000e-06,4.078740e-05,7.470758e-02,9.113035e-09,1.802273e-06,3.209550e-06,9.252466e-01
3.700000e-06,4.484052e-05,7.470300e-02,1.061568e-08,2.009894e-06,3.532870e-06,9.252466e-01
4.150000e-06,4.872079e-05,7.469860e-02,1.217639e-08,2.213555e-06,3.843150e-06,9.252466e-01
4.600000e-06,5.245100e-05,7.469437e-02,1.379397e-08,2.413844e-06,4.142121e-06,9.252466e-01
5.050000e-06,5.604929e-05,7.469028e-02,1.546731e-08,2.611224e-06,4.431159e-06,9.252466e-01
5.500000e-06,5.953039e-05,7.468633e-02,1.719534e-08,2.806062e-06,4.711378e-06,9.252466e-01
5.950000e-06,6.290647e-05,7.468248e-02,1.897707e-08,2.998661e-06,4.983700e-06,9.252466e-01
6.400000e-06,6.618774e-05,7.467874e-02,2.081158e-08,3.189271e-06,5.248897e-06,9.252466e-01
6.850000e-06,6.938287e-05,7.467510e-02,2.269802e-08,3.378101e-06,5.507625e-06,9.252466e-01
7.300000e-06,7.249929e-05,7.467154e-02,2.463559e-08,3.565331e-06,5.760447e-06,9.252466e-01
7.750000e-06,7.554347e-05,7.466806e-02,2.662357e-08,3.751116e-06,6.007850e-06,9.252466e-01
8.200000e-06,7.852105e-05,7.466466e-02,2.866128e-08,3.935589e-06,6.250261e-06,9.252466e-01
8.650000e-06,8.143698e-05,7.466132e-02,3.074809e-08,4.118870e-06,6.488054e-06,9.252466e-01
9.100000e-06,8.429569e-05,7.465804e-02,3.288343e-08,4.301062e-06,6.721563e-06,9.252466e-01
9.550000e-06,8.710107e-05,7.465482e-02,3.506675e-08,4.482258e-06,6.951083e-06,9.252466e-01
1.000000e-05,8.985667e-05,7.465166e-02,3.729755e-08,4.662540e-06,7.176881e-06,9.252466e-01
1.450000e-05,1.152469e-04,7.462238e-02,6.213148e-08,6.428680e-06,9.273387e-06,9.252466e-01
1.900000e-05,1.378818e-04,7.459610e-02,9.137522e-08,8.156412e-06,1.116566e-05,9.252466e-01
2.350000e-05,1.587607e-04,7.457171e-02,1.248917e-07,9.870463e-06,1.292937e-05,9.252466e-01
2.800000e-05,1.784412e-04,7.454859e-02,1.626459e-07,1.158557e-05,1.460685e-05,9.252466e-01
3.250000e-05,1.972711e-04,7.452638e-02,2.046658e-07,1.331170e-05,1.622465e-05,9.252466e-01
