Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
1.124612e-08    5.270865e-09    5.975254e-09    6.808821e-01    CH3CH3 + 2 PT(S) <=> CH2CH3(S) + H(S) + 2 PT(B)
6.581382e-05    6.586605e-05    -5.223169e-08   4.998017e-01    CH2CH2 + PT(S) <=> CH2CH2(S) + PT(B)
7.991777e-06    7.943532e-06    4.824430e-08    5.015138e-01    CHCH + PT(S) <=> CHCH(S) + PT(B)
7.874183e-06    7.878159e-06    -3.975715e-09   4.998738e-01    CH4 + PT(S) <=> CH4(S) + PT(B)
3.678495e-06    3.632250e-06    4.624476e-08    5.031628e-01    H2 + 2 PT(S) <=> 2 H(S) + 2 PT(B)
1.129881e-06    1.129881e-06    2.540973e-14    5.000000e-01    CC(S) + PT(S) <=> 2 C(S) + PT(B)
3.859389e-05    3.859395e-05    -6.370223e-11   4.999996e-01    CCH(S) + PT(S) <=> C(S) + CH(S) + PT(B)
5.688352e-10    5.688098e-10    2.540973e-14    5.000112e-01    CCH(S) + PT(S) <=> CC(S) + H(S) + PT(B)
5.955810e-09    7.549305e-09    -1.593495e-09   4.410040e-01    CCH2(S) + PT(S) <=> C(S) + CH2(S) + PT(B)
2.388099e-10    3.027128e-10    -6.390294e-11   4.409970e-01    CCH2(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
1.247538e-09    1.388670e-11    1.233651e-09    9.889913e-01    CCH3(S) + PT(S) <=> C(S) + CH3(S) + PT(B)
1.858642e-05    1.858745e-05    -1.037844e-09   4.999860e-01    CCH3(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
9.138340e-06    9.137917e-06    4.234958e-10    5.000116e-01    CH(S) + PT(S) <=> C(S) + H(S) + PT(B)
1.494925e-04    1.494970e-04    -4.501450e-09   4.999925e-01    CH2(S) + PT(S) <=> CH(S) + H(S) + PT(B)
1.259858e-14    6.650381e-14    -5.390523e-14   1.592693e-01    CH2CH2(S) + PT(S) <=> 2 CH2(S) + PT(B)
1.468835e-08    6.116013e-08    -4.647178e-08   1.936539e-01    CH2CH2(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
4.134684e-14    2.408600e-17    4.132276e-14    9.994178e-01    CH2CH3(S) + PT(S) <=> CH2(S) + CH3(S) + PT(B)
5.833165e-09    7.330725e-11    5.759858e-09    9.875887e-01    CH2CH3(S) + PT(S) <=> CH2CH2(S) + H(S) + PT(B)
2.272473e-10    1.189246e-11    2.153549e-10    9.502698e-01    CH2CH3(S) + PT(S) <=> CHCH3(S) + H(S) + PT(B)
3.252876e-10    4.301002e-09    -3.975715e-09   7.031285e-02    CH4(S) + PT(S) <=> CH3(S) + H(S) + PT(B)
2.412106e-11    2.746892e-09    -2.722771e-09   8.704782e-03    CH3(S) + PT(S) <=> CH2(S) + H(S) + PT(B)
3.188253e-10    3.185992e-10    2.261191e-13    5.001774e-01    CHCH(S) + PT(S) <=> CCH(S) + H(S) + PT(B)
3.897470e-06    3.894893e-06    2.577257e-09    5.001654e-01    CHCH(S) + PT(S) <=> 2 CH(S) + PT(B)
4.784852e-06    4.785472e-06    -6.195539e-10   4.999676e-01    CHCH2(S) + PT(S) <=> CCH2(S) + H(S) + PT(B)
6.913161e-10    8.764340e-10    -1.851179e-10   4.409607e-01    CHCH2(S) + PT(S) <=> CH(S) + CH2(S) + PT(B)
1.699843e-07    2.156511e-07    -4.566681e-08   4.407902e-01    CHCH2(S) + PT(S) <=> CHCH(S) + H(S) + PT(B)
3.021342e-05    3.021323e-05    1.958066e-10    5.000016e-01    CHCH3(S) + PT(S) <=> CCH3(S) + H(S) + PT(B)
1.946839e-11    2.167169e-13    1.925167e-11    9.889908e-01    CHCH3(S) + PT(S) <=> CH(S) + CH3(S) + PT(B)
3.701786e-09    3.701489e-09    2.965659e-13    5.000200e-01    CHCH3(S) + PT(S) <=> CHCH2(S) + H(S) + PT(B)
