Species_name	Phase	Surf_cov	H	C	O	N	Pt
CH2CH2	Gas	0	4	2	0	0	0
CH3CH3	Gas	0	6	2	0	0	0
CH4	Gas	0	4	1	0	0	0
CHCH	Gas	0	2	2	0	0	0
H2	Gas	0	2	0	0	0	0
N2	Gas	0	0	0	0	2	0
PT(B)	Bulk	0	0	0	0	0	1
CH2CH3(S)	Surface	1.06888e-08	5	2	0	0	0
CH3(S)	Surface	3.68992e-09	3	1	0	0	0
H(S)	Surface	0.000495093	1	0	0	0	0
CH2(S)	Surface	1.33973e-06	2	1	0	0	0
CHCH3(S)	Surface	1.96589e-08	4	2	0	0	0
CH2CH2(S)	Surface	5.68179e-08	4	2	0	0	0
CH(S)	Surface	0.616686	1	1	0	0	0
CCH3(S)	Surface	0.193774	3	2	0	0	0
CHCH2(S)	Surface	6.13312e-06	3	2	0	0	0
C(S)	Surface	0.113312	0	1	0	0	0
CCH2(S)	Surface	0.0601975	2	2	0	0	0
CHCH(S)	Surface	0.00285509	2	2	0	0	0
CCH(S)	Surface	6.75328e-05	1	2	0	0	0
CC(S)	Surface	1.37504e-06	0	2	0	0	0
CH4(S)	Surface	1.07025e-08	4	1	0	0	0
PT(S)	Surface	0.0126042	0	0	0	0	1
