z(m),CH2CH3(S),CH3(S),H(S),CH2(S),CHCH3(S),CH2CH2(S),CH(S),CCH3(S),CHCH2(S),C(S),CCH2(S),CHCH(S),CCH(S),CC(S),CH4(S),PT(S)
1.000000e-06, 1.840856e-07, 3.406560e-10, 3.952222e-04, 5.105438e-08, 3.912778e-11, 3.152741e-09, 2.734400e-01, 4.190226e-03, 1.286885e-07, 5.891578e-01, 1.509760e-02, 5.932835e-05, 1.679129e-05, 4.010039e-06, 1.750591e-12, 1.176387e-01
1.450000e-06, 1.738749e-07, 3.436298e-10, 4.103601e-04, 5.961552e-08, 4.385233e-11, 3.723500e-09, 2.919501e-01, 4.338189e-03, 1.338515e-07, 5.769547e-01, 1.434423e-02, 7.152375e-05, 1.851006e-05, 4.054947e-06, 2.309104e-12, 1.119080e-01
1.900000e-06, 1.662069e-07, 3.494939e-10, 4.224429e-04, 6.716680e-08, 4.829615e-11, 4.217353e-09, 3.066734e-01, 4.485890e-03, 1.389785e-07, 5.668103e-01, 1.387693e-02, 8.242087e-05, 1.992043e-05, 4.081822e-06, 2.868333e-12, 1.076242e-01
2.350000e-06, 1.600839e-07, 3.566906e-10, 4.324449e-04, 7.398402e-08, 5.254329e-11, 4.655082e-09, 3.188900e-01, 4.630845e-03, 1.440063e-07, 5.581448e-01, 1.356874e-02, 9.236271e-05, 2.112643e-05, 4.099917e-06, 3.432848e-12, 1.042152e-01
2.800000e-06, 1.549992e-07, 3.645253e-10, 4.409391e-04, 8.023499e-08, 5.664260e-11, 5.049562e-09, 3.293158e-01, 4.772246e-03, 1.489172e-07, 5.505922e-01, 1.335867e-02, 1.015592e-04, 2.218616e-05, 4.113313e-06, 4.004944e-12, 1.013918e-01
3.250000e-06, 1.506602e-07, 3.726498e-10, 4.482929e-04, 8.603136e-08, 6.062520e-11, 5.409443e-09, 3.383945e-01, 4.909882e-03, 1.537089e-07, 5.439081e-01, 1.321343e-02, 1.101508e-04, 2.313557e-05, 4.124046e-06, 4.585866e-12, 9.898800e-02
3.700000e-06, 1.468831e-07, 3.808768e-10, 4.547562e-04, 9.145215e-08, 6.451231e-11, 5.740887e-09, 3.464213e-01, 5.043776e-03, 1.583849e-07, 5.379207e-01, 1.311317e-02, 1.182369e-04, 2.399853e-05, 4.133218e-06, 5.176323e-12, 9.689957e-02
4.150000e-06, 1.435445e-07, 3.891003e-10, 4.605068e-04, 9.655586e-08, 6.831907e-11, 6.048465e-09, 3.536031e-01, 5.174050e-03, 1.629508e-07, 5.325049e-01, 1.304529e-02, 1.258917e-04, 2.479175e-05, 4.141462e-06, 5.776723e-12, 9.505700e-02
4.600000e-06, 1.405578e-07, 3.972592e-10, 4.656757e-04, 1.013873e-07, 7.205673e-11, 6.335684e-09, 3.600908e-01, 5.300860e-03, 1.674126e-07, 5.275665e-01, 1.300137e-02, 1.331719e-04, 2.552743e-05, 4.149158e-06, 6.387301e-12, 9.341149e-02
5.050000e-06, 1.378596e-07, 4.053179e-10, 4.703621e-04, 1.059816e-07, 7.573391e-11, 6.605300e-09, 3.659981e-01, 5.424375e-03, 1.717765e-07, 5.230331e-01, 1.297558e-02, 1.401225e-04, 2.621475e-05, 4.156544e-06, 7.008191e-12, 9.192749e-02
5.500000e-06, 1.354024e-07, 4.132562e-10, 4.746429e-04, 1.103673e-07, 7.935738e-11, 6.859529e-09, 3.714128e-01, 5.544758e-03, 1.760482e-07, 5.188475e-01, 1.296377e-02, 1.467799e-04, 2.686078e-05, 4.163768e-06, 7.639457e-12, 9.057828e-02
